"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_f"
681,50.4,50.4,49.6,"Belprahon BE","Belprahon (BE)","Belprahon BE","A Belprahon, les habitants sont favorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 50,4 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 84,9 pour cent de non. Belprahon avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
683,58.7,58.7,41.3,"Champoz BE","Champoz (BE)","Champoz BE","Les électeurs de Champoz valident une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 58,7 pour cent des suffrages. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 64,7 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Champoz passe cette fois-ci du côté du oui."
687,48.1,48.1,51.9,"Corcelles BE","Corcelles (BE)","Corcelles BE","A Corcelles (BE), les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 51,9 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 57,7 pour cent de non. Les citoyens de Corcelles (BE) avaient déjà refusé la précédente révision de l'AVS en 2017."
690,73.1,73.1,26.9,"Court BE","Court (BE)","Court BE","Les habitants de Court acceptent une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 73,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 56,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Court passe cette fois-ci du côté du oui."
691,89.7,89.7,10.3,"Crémines BE","Crémines (BE)","Crémines BE","Les habitants de Crémines acceptent une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 89,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 54,4 pour cent de non. Les citoyens de Crémines avaient déjà refusé la précédente révision de l'AVS en 2017."
692,29.2,29.2,70.8,"Eschert BE","Eschert (BE)","Eschert BE","A Eschert, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 70,8 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 56 pour cent de non. Les citoyens d'Eschert avaient déjà refusé la précédente révision de l'AVS en 2017."
694,79.1,79.1,20.9,"Grandval BE","Grandval (BE)","Grandval BE","A Grandval, les habitants sont favorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 79,1 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 56,4 pour cent de non. Les citoyens de Grandval avaient déjà refusé la précédente révision de l'AVS en 2017."
696,76.4,76.4,23.6,"Loveresse BE","Loveresse (BE)","Loveresse BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS passe la rampe à Loveresse avec 76,4 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 53,8 pour cent de non. Les citoyens de Loveresse avaient déjà refusé la précédente révision de l'AVS en 2017."
700,55.3,55.3,44.7,"Moutier BE","Moutier (BE)","Moutier BE","A Moutier, les habitants disent oui à 55,3 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 53,5 pour cent de non. Les citoyens de Moutier avaient déjà refusé la précédente révision de l'AVS en 2017."
701,33.5,33.5,66.5,"Perrefitte BE","Perrefitte (BE)","Perrefitte BE","A Perrefitte, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 66,5 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 74 pour cent de non. Les citoyens de Perrefitte avaient déjà refusé la précédente révision de l'AVS en 2017."
703,61,61,39,"Reconvilier BE","Reconvilier (BE)","Reconvilier BE","A Reconvilier, les habitants disent oui à 61 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 54,7 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Reconvilier passe cette fois-ci du côté du oui."
704,86.2,86.2,13.8,"Roches BE","Roches (BE)","Roches BE BE","A Roches (BE), les habitants sont favorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 86,2 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 52,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Roches (BE) passe cette fois-ci du côté du oui."
706,86.4,86.4,13.6,"Saicourt BE","Saicourt (BE)","Saicourt BE","A Saicourt, les habitants disent oui à 86,4 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 60,6 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Saicourt passe cette fois-ci du côté du oui."
707,6.1,6.1,93.9,"Saules BE","Saules (BE)","Saules BE","L'augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS échoue à Saules (BE) avec 93,9 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 69,4 pour cent de oui. Les citoyens de Saules (BE) avaient déjà refusé la précédente révision de l'AVS en 2017."
708,71.9,71.9,28.1,"Schelten BE","La Scheulte (BE)","Schelten BE","A La Scheulte, les habitants sont favorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 71,9 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 55,3 pour cent de non. La Scheulte avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
709,54,54,46,"Seehof BE","Seehof (BE)","Seehof BE","A Seehof, les habitants sont favorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 54 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 73,9 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Seehof passe cette fois-ci du côté du oui."
711,50.9,50.9,49.1,"Sorvilier BE","Sorvilier (BE)","Sorvilier BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS passe la rampe à Sorvilier avec 50,9 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 91,9 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Sorvilier passe cette fois-ci du côté du oui."
713,41.6,41.6,58.4,"Tavannes BE","Tavannes (BE)","Tavannes BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Tavannes avec 58,4 pour cent des voix. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 70,8 pour cent de oui. Les citoyens de Tavannes avaient déjà refusé la précédente révision de l'AVS en 2017."
715,59.4,59.4,40.6,"Rebévelier BE","Rebévelier (BE)","Rebévelier BE","A Rebévelier, les habitants sont favorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 59,4 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 79,5 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Rebévelier passe cette fois-ci du côté du oui."
716,59,59,41,"Petit-Val BE","Petit-Val (BE)","Petit-Val BE","Les électeurs de Petit-Val valident une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 59 pour cent des suffrages. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 78,2 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Petit-Val passe cette fois-ci du côté du oui."
717,29.3,29.3,70.7,"Valbirse BE","Valbirse (BE)","Valbirse BE","A Valbirse, les habitants disent non à 70,7 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 55,5 pour cent de non. Les citoyens de Valbirse avaient déjà refusé la précédente révision de l'AVS en 2017."
723,41.3,41.3,58.7,"Neuenstadt BE","La Neuveville (BE)","Neuenstadt BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à La Neuveville avec 58,7 pour cent des voix. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 53 pour cent de non. La Neuveville avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
724,75.7,75.7,24.3,"Nods BE","Nods (BE)","Nods BE","C'est oui à 75,7 pour cent à une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS à Nods. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 51,9 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Nods passe cette fois-ci du côté du oui."
726,5.2,5.2,94.8,"Plateau de Diesse BE","Plateau de Diesse (BE)","Plateau de Diesse BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Plateau de Diesse avec 94,8 pour cent des voix. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 68,6 pour cent de oui. Les citoyens de Plateau de Diesse avaient déjà refusé la précédente révision de l'AVS en 2017."
731,65.9,65.9,34.1,"Aegerten BE","Aegerten (BE)","Aegerten BE","Les habitants d'Aegerten approuvent une augmentation du taux de TVA pour financer la réforme de l'AVS avec 65,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 53,3 pour cent de non. Les citoyens d'Aegerten avaient déjà refusé la précédente révision de l'AVS en 2017."
732,64.9,64.9,35.1,"Bellmund BE","Bellmund (BE)","Bellmund BE","Les habitants de Bellmund acceptent une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 64,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 79,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Bellmund passe cette fois-ci du côté du oui."
733,45.9,45.9,54.1,"Brügg BE","Brügg (BE)","Brügg BE","A Brügg, les habitants disent non à 54,1 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 81,3 pour cent de non. Les citoyens de Brügg avaient déjà refusé la précédente révision de l'AVS en 2017."
734,31,31,69,"Bühl BE","Bühl (BE)","Bühl BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Bühl avec 69 pour cent des voix. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 99,3 pour cent de non. Les citoyens de Bühl avaient déjà refusé la précédente révision de l'AVS en 2017."
735,54.8,54.8,45.2,"Epsach BE","Epsach (BE)","Epsach BE","Les habitants d'Epsach acceptent une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 54,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 57,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Epsach passe cette fois-ci du côté du oui."
736,39.7,39.7,60.3,"Hagneck BE","Hagneck (BE)","Hagneck BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Hagneck avec 60,3 pour cent des voix. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 57,1 pour cent de non. Les citoyens de Hagneck avaient déjà refusé la précédente révision de l'AVS en 2017."
737,25.5,25.5,74.5,"Hermrigen BE","Hermrigen (BE)","Hermrigen BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Hermrigen avec 74,5 pour cent des voix. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 60,3 pour cent de oui. Les citoyens de Hermrigen avaient déjà refusé la précédente révision de l'AVS en 2017."
738,23.4,23.4,76.6,"Jens BE","Jens (BE)","Jens BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Jens avec 76,6 pour cent des voix. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 64,5 pour cent de non. Jens avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
739,55.2,55.2,44.8,"Ipsach BE","Ipsach (BE)","Ipsach BE","Les habitants d'Ipsach acceptent une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 55,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 60,3 pour cent de non. Les citoyens d'Ipsach avaient déjà refusé la précédente révision de l'AVS en 2017."
740,23.3,23.3,76.7,"Ligerz BE","Gléresse (BE)","Ligerz BE","C'est non à 76,7 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS à Gléresse. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 54,2 pour cent de oui. Les citoyens de Gléresse avaient déjà refusé la précédente révision de l'AVS en 2017."
741,64.4,64.4,35.6,"Merzligen BE","Merzligen (BE)","Merzligen BE","Les électeurs de Merzligen valident une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 64,4 pour cent des suffrages. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 59,9 pour cent de non. Les citoyens de Merzligen avaient déjà refusé la précédente révision de l'AVS en 2017."
742,62.4,62.4,37.6,"Mörigen BE","Mörigen (BE)","Mörigen BE","A Mörigen, les habitants sont favorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 62,4 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 97,7 pour cent de non. Les citoyens de Mörigen avaient déjà refusé la précédente révision de l'AVS en 2017."
743,70,70,30,"Nidau BE","Nidau (BE)","Nidau BE","C'est oui à 70 pour cent à une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS à Nidau. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 86,6 pour cent des voix. Les électeurs de Nidau avaient déjà voté oui à la précédente réforme de l'AVS en 2017."
744,75.4,75.4,24.6,"Orpund BE","Orpund (BE)","Orpund BE","Les habitants d'Orpund acceptent une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 75,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 65,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Orpund passe cette fois-ci du côté du oui."
745,95,95,5,"Port BE","Port (BE)","Port BE","A Port, les habitants disent oui à 95 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 72,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Port passe cette fois-ci du côté du oui."
746,52.8,52.8,47.2,"Safnern BE","Safnern (BE)","Safnern BE","A Safnern, les habitants sont favorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 52,8 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 91,3 pour cent de non. Les citoyens de Safnern avaient déjà refusé la précédente révision de l'AVS en 2017."
747,77.9,77.9,22.1,"Scheuren BE","Scheuren (BE)","Scheuren BE","Les habitants de Scheuren approuvent une augmentation du taux de TVA pour financer la réforme de l'AVS avec 77,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 79,2 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Scheuren passe cette fois-ci du côté du oui."
748,22.2,22.2,77.8,"Schwadernau BE","Schwadernau (BE)","Schwadernau BE","Les habitants de Schwadernau rejettent une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 77,8 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 89 pour cent de non. Les citoyens de Schwadernau avaient déjà refusé la précédente révision de l'AVS en 2017."
749,35.3,35.3,64.7,"Studen BE","Studen (BE)","Studen BE BE","L'augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS échoue à Studen (BE) avec 64,7 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 56,4 pour cent de oui. Les citoyens de Studen (BE) avaient déjà refusé la précédente révision de l'AVS en 2017."
750,30.5,30.5,69.5,"Sutz-Lattrigen BE","Sutz-Lattrigen (BE)","Sutz-Lattrigen BE","C'est non à 69,5 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS à Sutz-Lattrigen. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 85,1 pour cent de non. Les citoyens de Sutz-Lattrigen avaient déjà refusé la précédente révision de l'AVS en 2017."
751,86.8,86.8,13.2,"Täuffelen BE","Täuffelen (BE)","Täuffelen BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS passe la rampe à Täuffelen avec 86,8 pour cent des voix. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 50,1 pour cent de non. Les citoyens de Täuffelen avaient déjà refusé la précédente révision de l'AVS en 2017."
754,48,48,52,"Walperswil BE","Walperswil (BE)","Walperswil BE","A Walperswil, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 52 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 76,6 pour cent de non. Les citoyens de Walperswil avaient déjà refusé la précédente révision de l'AVS en 2017."
755,8.7,8.7,91.3,"Worben BE","Worben (BE)","Worben BE","L'augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS échoue à Worben avec 91,3 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 66,3 pour cent de oui. Les citoyens de Worben avaient déjà refusé la précédente révision de l'AVS en 2017."
756,17.8,17.8,82.2,"Twann-Tüscherz BE","Douanne-Daucher (BE)","Twann-Tüscherz BE","Les habitants de Douanne-Daucher s'opposent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 82,2 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 83,4 pour cent de non. Douanne-Daucher avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
761,45,45,55,"Därstetten BE","Därstetten (BE)","Därstetten BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Därstetten avec 55 pour cent des voix. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 58,8 pour cent de oui. Les citoyens de Därstetten avaient déjà refusé la précédente révision de l'AVS en 2017."
762,25.4,25.4,74.6,"Diemtigen BE","Diemtigen (BE)","Diemtigen BE","C'est non à 74,6 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS à Diemtigen. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 78,1 pour cent de oui. Les citoyens de Diemtigen avaient déjà refusé la précédente révision de l'AVS en 2017."
763,65.8,65.8,34.2,"Erlenbach im Simmental BE","Erlenbach im Simmental (BE)","Erlenbach im Simmental BE","C'est oui à 65,8 pour cent à une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS à Erlenbach im Simmental. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 51,9 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Erlenbach im Simmental passe cette fois-ci du côté du oui."
766,33.4,33.4,66.6,"Oberwil im Simmental BE","Oberwil im Simmental (BE)","Oberwil im Simmental BE","Les habitants d'Oberwil im Simmental rejettent une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 66,6 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 68,2 pour cent de oui. Les citoyens d'Oberwil im Simmental avaient déjà refusé la précédente révision de l'AVS en 2017."
767,20.5,20.5,79.5,"Reutigen BE","Reutigen (BE)","Reutigen BE","L'augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS échoue à Reutigen avec 79,5 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 77,1 pour cent de oui. Les citoyens de Reutigen avaient déjà refusé la précédente révision de l'AVS en 2017."
768,37.2,37.2,62.8,"Spiez BE","Spiez (BE)","Spiez BE","A Spiez, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 62,8 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 72,5 pour cent de oui. Spiez avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
769,50.8,50.8,49.2,"Wimmis BE","Wimmis (BE)","Wimmis BE","A Wimmis, les habitants disent oui à 50,8 pour cent à une augmentation du taux de TVA pour financer la réforme de l'AVS. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 64,4 pour cent de non. Les citoyens de Wimmis avaient déjà refusé la précédente révision de l'AVS en 2017."
770,40.7,40.7,59.3,"Stocken-Höfen BE","Stocken-Höfen (BE)","Stocken-Höfen BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Stocken-Höfen avec 59,3 pour cent des voix. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 52 pour cent de non. Les citoyens de Stocken-Höfen avaient déjà refusé la précédente révision de l'AVS en 2017."
782,75,75,25,"Guttannen BE","Guttannen (BE)","Guttannen BE","Les habitants de Guttannen acceptent une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 75 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 50,2 pour cent de non. Les citoyens de Guttannen avaient déjà refusé la précédente révision de l'AVS en 2017."
783,44.7,44.7,55.3,"Hasliberg BE","Hasliberg (BE)","Hasliberg BE","A Hasliberg, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 55,3 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 62 pour cent de non. Les citoyens de Hasliberg avaient déjà refusé la précédente révision de l'AVS en 2017."
784,57.2,57.2,42.8,"Innertkirchen BE","Innertkirchen (BE)","Innertkirchen BE","Les habitants d'Innertkirchen approuvent une augmentation du taux de TVA pour financer la réforme de l'AVS avec 57,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 68,6 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Innertkirchen passe cette fois-ci du côté du oui."
785,14.8,14.8,85.2,"Meiringen BE","Meiringen (BE)","Meiringen BE","A Meiringen, les habitants disent non à 85,2 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 83 pour cent de non. Les citoyens de Meiringen avaient déjà refusé la précédente révision de l'AVS en 2017."
786,5.3,5.3,94.7,"Schattenhalb BE","Schattenhalb (BE)","Schattenhalb BE","A Schattenhalb, les habitants sont défavorables à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 94,7 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 53 pour cent de oui. Les citoyens de Schattenhalb avaient déjà refusé la précédente révision de l'AVS en 2017."
791,77.5,77.5,22.5,"Boltigen BE","Boltigen (BE)","Boltigen BE","Les habitants de Boltigen approuvent une augmentation du taux de TVA pour financer la réforme de l'AVS avec 77,5 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 98,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Boltigen passe cette fois-ci du côté du oui."
792,15.1,15.1,84.9,"Lenk BE","Lenk (BE)","Lenk BE","C'est non à 84,9 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS à Lenk. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 63,1 pour cent de non. Les citoyens de Lenk avaient déjà refusé la précédente révision de l'AVS en 2017."
793,32.8,32.8,67.2,"St. Stephan BE","Saint-Etienne (BE)","St. Stephan BE","Les habitants de Saint-Etienne s'opposent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 67,2 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 61,3 pour cent de oui. Les citoyens de Saint-Etienne avaient déjà refusé la précédente révision de l'AVS en 2017."
794,37.1,37.1,62.9,"Zweisimmen BE","Zweisimmen (BE)","Zweisimmen BE","A Zweisimmen, les habitants disent non à 62,9 pour cent à une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 97,1 pour cent de non. Les citoyens de Zweisimmen avaient déjà refusé la précédente révision de l'AVS en 2017."
841,88.9,88.9,11.1,"Gsteig BE","Gsteig (BE)","Gsteig BE","Les électeurs de Gsteig valident une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS avec 88,9 pour cent des suffrages. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 71,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Gsteig passe cette fois-ci du côté du oui."
842,80.3,80.3,19.7,"Lauenen BE","Lauenen (BE)","Lauenen BE","C'est oui à 80,3 pour cent à une hausse du taux de TVA pour couvrir les besoins financiers de l'AVS à Lauenen. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 61,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Lauenen passe cette fois-ci du côté du oui."
843,3.8,3.8,96.2,"Saanen BE","Gessenay (BE)","Saanen BE","Une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS ne passe pas la rampe à Gessenay avec 96,2 pour cent des voix. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 82,7 pour cent de non. Les citoyens de Gessenay avaient déjà refusé la précédente révision de l'AVS en 2017."
852,59.8,59.8,40.2,"Guggisberg BE","Guggisberg (BE)","Guggisberg BE","Les habitants de Guggisberg approuvent une augmentation du taux de TVA pour financer la réforme de l'AVS avec 59,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée avec 56,2 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Guggisberg passe cette fois-ci du côté du oui."
853,33.9,33.9,66.1,"Rüschegg BE","Rüschegg (BE)","Rüschegg BE","Les habitants de Rüschegg rejettent une augmentation du taux de TVA pour couvrir les besoins financiers de l'AVS avec 66,1 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 69,3 pour cent de non. Les citoyens de Rüschegg avaient déjà refusé la précédente révision de l'AVS en 2017."
