"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_i"
632,35.9,35.9,64.1,"Wichtrach BE","Wichtrach (BE)","Wichtrach BE","Da Wichtrach è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 64,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 9,2 percento dei voti. A Wichtrach come nel 2017 gli elettroi hanno detto no - con il 50,3 percento dei voti – alla riforma dell'AVS."
662,37.7,37.7,62.3,"Ferenbalm BE","Ferenbalm (BE)","Ferenbalm BE","I cittadini di Ferenbalm si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 62,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 44,8 percento dei voti. A Ferenbalm come nel 2017 gli elettroi hanno detto no - con il 66,4 percento dei voti – alla riforma dell'AVS."
663,49.7,49.7,50.3,"Frauenkappelen BE","Frauenkappelen (BE)","Frauenkappelen BE","No all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Frauenkappelen: i cittadini hanno bocciato il testo con il 50,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 25 percento dei voti. A Frauenkappelen come nel 2017 gli elettroi hanno detto no - con il 51 percento dei voti – alla riforma dell'AVS."
665,94.1,94.1,5.9,"Gurbrü BE","Gurbrü (BE)","Gurbrü BE","I cittadini di Gurbrü si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 94,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 53,9 percento dei voti. Gurbrü ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
666,70,70,30,"Kriechenwil BE","Kriechenwil (BE)","Kriechenwil BE","Da Kriechenwil è arrivato un ""sì"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno accolto il testo con il 70 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 47,7 percento dei voti. A Kriechenwil come nel 2017 gli elettroi hanno detto no - con il 70,3 percento dei voti – alla riforma dell'AVS."
667,86.5,86.5,13.5,"Laupen BE","Laupen (BE)","Laupen BE","Con il 86,5 percento di ""sì"", i cittadini del comune di Laupen hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece respinta con il 46,3 percento dei voti. Laupen ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
668,50.1,50.1,49.9,"Mühleberg BE","Mühleberg (BE)","Mühleberg BE","Nel comune di Mühleberg l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 50,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 76 percento dei voti. Mühleberg ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
669,21.6,21.6,78.4,"Münchenwiler BE","Villars-les-Moines (BE)","Münchenwiler BE","I cittadini di Münchenwiler si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 78,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 44,2 percento dei voti. A Münchenwiler come nel 2017 gli elettroi hanno detto no - con il 54,5 percento dei voti – alla riforma dell'AVS."
670,58.4,58.4,41.6,"Neuenegg BE","Neuenegg (BE)","Neuenegg BE","Nel comune di Neuenegg l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 58,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 34,2 percento dei voti. A Neuenegg come nel 2017 gli elettroi hanno detto no - con il 53 percento dei voti – alla riforma dell'AVS."
671,49.8,49.8,50.2,"Wileroltigen BE","Wileroltigen (BE)","Wileroltigen BE","Nel comune di Wileroltigen l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 50,2 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 67,8 percento dei voti. A Wileroltigen come nel 2017 gli elettroi hanno detto no - con il 61,3 percento dei voti – alla riforma dell'AVS."
681,50.4,50.4,49.6,"Belprahon BE","Belprahon (BE)","Belprahon BE","I cittadini di Belprahon si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 50,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 15,1 percento dei voti. Belprahon ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
683,58.7,58.7,41.3,"Champoz BE","Champoz (BE)","Champoz BE","A Champoz i cittadini hanno accolto, con il 58,7 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata accettata con il 64,7 percento dei voti. Champoz ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
687,48.1,48.1,51.9,"Corcelles BE","Corcelles (BE)","Corcelles BE","I cittadini di Corcelles BE si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 51,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 42,3 percento dei voti. A Corcelles BE come nel 2017 gli elettroi hanno detto no - con il 63,5 percento dei voti – alla riforma dell'AVS."
690,73.1,73.1,26.9,"Court BE","Court (BE)","Court BE","Nel comune di Court l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 73,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 56,8 percento dei voti. Court ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
691,89.7,89.7,10.3,"Crémines BE","Crémines (BE)","Crémines BE","Nel comune di Crémines l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 89,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 45,6 percento dei voti. A Crémines come nel 2017 gli elettroi hanno detto no - con il 50,9 percento dei voti – alla riforma dell'AVS."
692,29.2,29.2,70.8,"Eschert BE","Eschert (BE)","Eschert BE","I cittadini di Eschert si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 70,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 44 percento dei voti. A Eschert come nel 2017 gli elettroi hanno detto no - con il 58,3 percento dei voti – alla riforma dell'AVS."
694,79.1,79.1,20.9,"Grandval BE","Grandval (BE)","Grandval BE","I cittadini di Grandval si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 79,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 43,6 percento dei voti. A Grandval come nel 2017 gli elettroi hanno detto no - con il 50,9 percento dei voti – alla riforma dell'AVS."
696,76.4,76.4,23.6,"Loveresse BE","Loveresse (BE)","Loveresse BE","Da Loveresse è arrivato un ""sì"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno accolto il testo con il 76,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 46,2 percento dei voti. A Loveresse come nel 2017 gli elettroi hanno detto no - con il 63,7 percento dei voti – alla riforma dell'AVS."
700,55.3,55.3,44.7,"Moutier BE","Moutier (BE)","Moutier BE","Nel comune di Moutier l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 55,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 46,5 percento dei voti. A Moutier come nel 2017 gli elettroi hanno detto no - con il 50,4 percento dei voti – alla riforma dell'AVS."
701,33.5,33.5,66.5,"Perrefitte BE","Perrefitte (BE)","Perrefitte BE","I cittadini di Perrefitte si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 66,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 26 percento dei voti. A Perrefitte come nel 2017 gli elettroi hanno detto no - con il 67,5 percento dei voti – alla riforma dell'AVS."
703,61,61,39,"Reconvilier BE","Reconvilier (BE)","Reconvilier BE","Nel comune di Reconvilier l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 61 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 54,7 percento dei voti. Reconvilier ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
704,86.2,86.2,13.8,"Roches BE","Roches (BE)","Roches BE BE","I cittadini di Roches BE si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 86,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 52,8 percento dei voti. Roches BE ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
706,86.4,86.4,13.6,"Saicourt BE","Saicourt (BE)","Saicourt BE","Nel comune di Saicourt l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 86,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 60,6 percento dei voti. Saicourt ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
707,6.1,6.1,93.9,"Saules BE","Saules (BE)","Saules BE","A Saules BE i cittadini hanno respinto, con il 93,9 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece accettata con il 69,4 percento dei voti. A Saules BE come nel 2017 gli elettroi hanno detto no - con il 79,4 percento dei voti – alla riforma dell'AVS."
708,71.9,71.9,28.1,"Schelten BE","La Scheulte (BE)","Schelten BE","I cittadini di Schelten si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 71,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 44,7 percento dei voti. Schelten ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
709,54,54,46,"Seehof BE","Seehof (BE)","Seehof BE","I cittadini di Seehof si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 54 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 73,9 percento dei voti. Seehof ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
711,50.9,50.9,49.1,"Sorvilier BE","Sorvilier (BE)","Sorvilier BE","Da Sorvilier è arrivato un ""sì"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno accolto il testo con il 50,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 91,9 percento dei voti. Sorvilier ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
713,41.6,41.6,58.4,"Tavannes BE","Tavannes (BE)","Tavannes BE","Da Tavannes è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 58,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 70,8 percento dei voti. A Tavannes come nel 2017 gli elettroi hanno detto no - con il 56,6 percento dei voti – alla riforma dell'AVS."
715,59.4,59.4,40.6,"Rebévelier BE","Rebévelier (BE)","Rebévelier BE","I cittadini di Rebévelier si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 59,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 79,5 percento dei voti. Rebévelier ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
716,59,59,41,"Petit-Val BE","Petit-Val (BE)","Petit-Val BE","A Petit-Val i cittadini hanno accolto, con il 59 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata accettata con il 78,2 percento dei voti. Petit-Val ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
717,29.3,29.3,70.7,"Valbirse BE","Valbirse (BE)","Valbirse BE","Nel comune di Valbirse l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato respinto con il 70,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 44,5 percento dei voti. A Valbirse come nel 2017 gli elettroi hanno detto no - con il 57,7 percento dei voti – alla riforma dell'AVS."
723,41.3,41.3,58.7,"Neuenstadt BE","La Neuveville (BE)","Neuenstadt BE","Da Neuenstadt è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 58,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 47 percento dei voti. Neuenstadt ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
724,75.7,75.7,24.3,"Nods BE","Nods (BE)","Nods BE","Con il 75,7 percento di ""sì"", i cittadini del comune di Nods hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Anche la seconda proposta concernente l'AVS è stata accettata con il 51,9 percento dei voti. Nods ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
726,5.2,5.2,94.8,"Plateau de Diesse BE","Plateau de Diesse (BE)","Plateau de Diesse BE","Da Plateau de Diesse è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 94,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 68,6 percento dei voti. A Plateau de Diesse come nel 2017 gli elettroi hanno detto no - con il 51,2 percento dei voti – alla riforma dell'AVS."
731,65.9,65.9,34.1,"Aegerten BE","Aegerten (BE)","Aegerten BE","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Aegerten: i cittadini hanno approvato il testo con il 65,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 46,7 percento dei voti. A Aegerten come nel 2017 gli elettroi hanno detto no - con il 56,3 percento dei voti – alla riforma dell'AVS."
732,64.9,64.9,35.1,"Bellmund BE","Bellmund (BE)","Bellmund BE","Nel comune di Bellmund l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 64,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 79,4 percento dei voti. Bellmund ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
733,45.9,45.9,54.1,"Brügg BE","Brügg (BE)","Brügg BE","Nel comune di Brügg l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato respinto con il 54,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 18,7 percento dei voti. A Brügg come nel 2017 gli elettroi hanno detto no - con il 52,2 percento dei voti – alla riforma dell'AVS."
734,31,31,69,"Bühl BE","Bühl (BE)","Bühl BE","Da Bühl è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 69 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 0,7 percento dei voti. A Bühl come nel 2017 gli elettroi hanno detto no - con il 68,1 percento dei voti – alla riforma dell'AVS."
735,54.8,54.8,45.2,"Epsach BE","Epsach (BE)","Epsach BE","Nel comune di Epsach l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 54,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 57,3 percento dei voti. Epsach ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
736,39.7,39.7,60.3,"Hagneck BE","Hagneck (BE)","Hagneck BE","Da Hagneck è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 60,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 42,9 percento dei voti. A Hagneck come nel 2017 gli elettroi hanno detto no - con il 53,6 percento dei voti – alla riforma dell'AVS."
737,25.5,25.5,74.5,"Hermrigen BE","Hermrigen (BE)","Hermrigen BE","Da Hermrigen è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 74,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 60,3 percento dei voti. A Hermrigen come nel 2017 gli elettroi hanno detto no - con il 77,6 percento dei voti – alla riforma dell'AVS."
738,23.4,23.4,76.6,"Jens BE","Jens (BE)","Jens BE","Da Jens è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 76,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 35,5 percento dei voti. Jens ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
739,55.2,55.2,44.8,"Ipsach BE","Ipsach (BE)","Ipsach BE","Nel comune di Ipsach l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 55,2 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 39,7 percento dei voti. A Ipsach come nel 2017 gli elettroi hanno detto no - con il 51,1 percento dei voti – alla riforma dell'AVS."
740,23.3,23.3,76.7,"Ligerz BE","Gléresse (BE)","Ligerz BE","Con il 76,7 percento di ""no"", i cittadini del comune di Ligerz hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. La seconda proposta concernente l'AVS è stata invece accettata con il 54,2 percento dei voti. A Ligerz come nel 2017 gli elettroi hanno detto no - con il 51 percento dei voti – alla riforma dell'AVS."
741,64.4,64.4,35.6,"Merzligen BE","Merzligen (BE)","Merzligen BE","A Merzligen i cittadini hanno accolto, con il 64,4 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. La seconda proposta concernente l'AVS è stata invece respinta con il 40,1 percento dei voti. A Merzligen come nel 2017 gli elettroi hanno detto no - con il 50,3 percento dei voti – alla riforma dell'AVS."
742,62.4,62.4,37.6,"Mörigen BE","Mörigen (BE)","Mörigen BE","I cittadini di Mörigen si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 62,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 2,3 percento dei voti. A Mörigen come nel 2017 gli elettroi hanno detto no - con il 62,9 percento dei voti – alla riforma dell'AVS."
743,70,70,30,"Nidau BE","Nidau (BE)","Nidau BE","Con il 70 percento di ""sì"", i cittadini del comune di Nidau hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Anche la seconda proposta concernente l'AVS è stata accettata con il 86,6 percento dei voti. A Nidau come nel 2017 gli elettori hanno detto sì - con il 54,2 percento dei voti – alla riforma dell'AVS."
744,75.4,75.4,24.6,"Orpund BE","Orpund (BE)","Orpund BE","Nel comune di Orpund l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 75,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 65,8 percento dei voti. Orpund ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
745,95,95,5,"Port BE","Port (BE)","Port BE","Nel comune di Port l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 95 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 72,8 percento dei voti. Port ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
746,52.8,52.8,47.2,"Safnern BE","Safnern (BE)","Safnern BE","I cittadini di Safnern si sono espressi a favore dell'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Il testo è stato approvato con il 52,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 8,7 percento dei voti. A Safnern come nel 2017 gli elettroi hanno detto no - con il 57,5 percento dei voti – alla riforma dell'AVS."
747,77.9,77.9,22.1,"Scheuren BE","Scheuren (BE)","Scheuren BE","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Scheuren: i cittadini hanno approvato il testo con il 77,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 79,2 percento dei voti. Scheuren ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
748,22.2,22.2,77.8,"Schwadernau BE","Schwadernau (BE)","Schwadernau BE","Nel comune di Schwadernau l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 77,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 11 percento dei voti. A Schwadernau come nel 2017 gli elettroi hanno detto no - con il 63,6 percento dei voti – alla riforma dell'AVS."
749,35.3,35.3,64.7,"Studen BE","Studen (BE)","Studen BE BE","A Studen BE i cittadini hanno respinto, con il 64,7 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece accettata con il 56,4 percento dei voti. A Studen BE come nel 2017 gli elettroi hanno detto no - con il 66,1 percento dei voti – alla riforma dell'AVS."
750,30.5,30.5,69.5,"Sutz-Lattrigen BE","Sutz-Lattrigen (BE)","Sutz-Lattrigen BE","Con il 69,5 percento di ""no"", i cittadini del comune di Sutz-Lattrigen hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. Anche la seconda proposta concernente l'AVS è stata respinta con il 14,9 percento dei voti. A Sutz-Lattrigen come nel 2017 gli elettroi hanno detto no - con il 51,8 percento dei voti – alla riforma dell'AVS."
751,86.8,86.8,13.2,"Täuffelen BE","Täuffelen (BE)","Täuffelen BE","Da Täuffelen è arrivato un ""sì"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno accolto il testo con il 86,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 49,9 percento dei voti. A Täuffelen come nel 2017 gli elettroi hanno detto no - con il 53,2 percento dei voti – alla riforma dell'AVS."
754,48,48,52,"Walperswil BE","Walperswil (BE)","Walperswil BE","I cittadini di Walperswil si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 52 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 23,4 percento dei voti. A Walperswil come nel 2017 gli elettroi hanno detto no - con il 66,8 percento dei voti – alla riforma dell'AVS."
755,8.7,8.7,91.3,"Worben BE","Worben (BE)","Worben BE","A Worben i cittadini hanno respinto, con il 91,3 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece accettata con il 66,3 percento dei voti. A Worben come nel 2017 gli elettroi hanno detto no - con il 54,1 percento dei voti – alla riforma dell'AVS."
756,17.8,17.8,82.2,"Twann-Tüscherz BE","Douanne-Daucher (BE)","Twann-Tüscherz BE","No all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Twann-Tüscherz: i cittadini hanno bocciato il testo con il 82,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 16,6 percento dei voti. Twann-Tüscherz ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
761,45,45,55,"Därstetten BE","Därstetten (BE)","Därstetten BE","Da Därstetten è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 55 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 58,8 percento dei voti. A Därstetten come nel 2017 gli elettroi hanno detto no - con il 74,4 percento dei voti – alla riforma dell'AVS."
762,25.4,25.4,74.6,"Diemtigen BE","Diemtigen (BE)","Diemtigen BE","Con il 74,6 percento di ""no"", i cittadini del comune di Diemtigen hanno bocciato l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. La seconda proposta concernente l'AVS è stata invece accettata con il 78,1 percento dei voti. A Diemtigen come nel 2017 gli elettroi hanno detto no - con il 65,3 percento dei voti – alla riforma dell'AVS."
763,65.8,65.8,34.2,"Erlenbach im Simmental BE","Erlenbach im Simmental (BE)","Erlenbach im Simmental BE","Con il 65,8 percento di ""sì"", i cittadini del comune di Erlenbach im Simmental hanno accolto l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Anche la seconda proposta concernente l'AVS è stata accettata con il 51,9 percento dei voti. Erlenbach im Simmental ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
766,33.4,33.4,66.6,"Oberwil im Simmental BE","Oberwil im Simmental (BE)","Oberwil im Simmental BE","Nel comune di Oberwil im Simmental l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato bocciato con il 66,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 68,2 percento dei voti. A Oberwil im Simmental come nel 2017 gli elettroi hanno detto no - con il 71 percento dei voti – alla riforma dell'AVS."
767,20.5,20.5,79.5,"Reutigen BE","Reutigen (BE)","Reutigen BE","A Reutigen i cittadini hanno respinto, con il 79,5 percento dei voti, l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . La seconda proposta concernente l'AVS è stata invece accettata con il 77,1 percento dei voti. A Reutigen come nel 2017 gli elettroi hanno detto no - con il 63,8 percento dei voti – alla riforma dell'AVS."
768,37.2,37.2,62.8,"Spiez BE","Spiez (BE)","Spiez BE","I cittadini di Spiez si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 62,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 72,5 percento dei voti. Spiez ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
769,50.8,50.8,49.2,"Wimmis BE","Wimmis (BE)","Wimmis BE","Nel comune di Wimmis l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS  è stato approvato con il 50,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 35,6 percento dei voti. A Wimmis come nel 2017 gli elettroi hanno detto no - con il 64,3 percento dei voti – alla riforma dell'AVS."
770,40.7,40.7,59.3,"Stocken-Höfen BE","Stocken-Höfen (BE)","Stocken-Höfen BE","Da Stocken-Höfen è arrivato un ""no"" alle urne per l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS. I cittadini hanno respinto il testo con il 59,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 48 percento dei voti. A Stocken-Höfen come nel 2017 gli elettroi hanno detto no - con il 69,3 percento dei voti – alla riforma dell'AVS."
782,75,75,25,"Guttannen BE","Guttannen (BE)","Guttannen BE","Nel comune di Guttannen l'aumento dell'IVA per coprire i bisogni finanziari dell'AVS è stato accettato con il 75 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 49,8 percento dei voti. A Guttannen come nel 2017 gli elettroi hanno detto no - con il 57,3 percento dei voti – alla riforma dell'AVS."
783,44.7,44.7,55.3,"Hasliberg BE","Hasliberg (BE)","Hasliberg BE","I cittadini di Hasliberg si sono opposti all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS . Il testo è stato respinto con il 55,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 38 percento dei voti. A Hasliberg come nel 2017 gli elettroi hanno detto no - con il 53,1 percento dei voti – alla riforma dell'AVS."
784,57.2,57.2,42.8,"Innertkirchen BE","Innertkirchen (BE)","Innertkirchen BE","Sì all'aumento dell'IVA per coprire i bisogni finanziari dell'AVS nel comune di Innertkirchen: i cittadini hanno approvato il testo con il 57,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 68,6 percento dei voti. Innertkirchen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
