"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d"
905,87.7,87.7,12.3,"Rüderswil BE","Rüderswil (BE)","Rüderswil BE","87,7 Prozent in Rüderswil sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 60 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Rüderswil damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Rüderswil eine Rentenreform mit 60,8 Prozent Nein-Stimmen abgelehnt."
906,48.3,48.3,51.7,"Schangnau BE","Schangnau (BE)","Schangnau BE","Nein zur Erhöhung des Frauenrentenalters auf 65 in Schangnau. Die Gemeinde hat das Volksbegehren mit 51,7 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 51,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Schangnau damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Schangnau eine Rentenreform mit 63,9 Prozent Nein-Stimmen abgelehnt."
907,40.9,40.9,59.1,"Signau BE","Signau (BE)","Signau BE","In Signau hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 59,1 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 59,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Signau damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Signau eine Rentenreform mit 62,7 Prozent Nein-Stimmen abgelehnt."
908,51.1,51.1,48.9,"Trub BE","Trub (BE)","Trub BE","Ja zur Erhöhung des Frauenrentenalters auf 65 in Trub mit 51,1 Prozent. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 75,4 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Trub damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Trub eine Rentenreform mit 59,7 Prozent Nein-Stimmen abgelehnt."
909,81.4,81.4,18.6,"Trubschachen BE","Trubschachen (BE)","Trubschachen BE","81,4 Prozent in Trubschachen sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 52 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Trubschachen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Trubschachen eine Rentenreform mit 54 Prozent Nein-Stimmen abgelehnt."
921,96.3,96.3,3.7,"Amsoldingen BE","Amsoldingen (BE)","Amsoldingen BE","In Amsoldingen hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 96,3 Prozent zugestimmt. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 90,5 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Amsoldingen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Amsoldingen eine Rentenreform mit 59,5 Prozent Nein-Stimmen abgelehnt."
922,51.4,51.4,48.6,"Blumenstein BE","Blumenstein (BE)","Blumenstein BE","In Blumenstein hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 51,4 Prozent zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 87,5 Prozent zugestimmt hat, ist die AHV-Reform in Blumenstein damit angenommen worden. Damit hat in Blumenstein im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 66,7 Prozent ein Nein in die Urne gelegt."
923,42,42,58,"Buchholterberg BE","Buchholterberg (BE)","Buchholterberg BE","Nein zur Erhöhung des Frauenrentenalters auf 65 in Buchholterberg. Die Gemeinde hat das Volksbegehren mit 58 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 80,1 Prozent angenommen hat, ist die AHV-Reform in Buchholterberg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Buchholterberg eine Rentenreform mit 70,3 Prozent Nein-Stimmen abgelehnt."
924,23,23,77,"Eriz BE","Eriz (BE)","Eriz BE","77 Prozent der Stimmbürgerinnen und Stimmbürger von Eriz sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 94,1 Prozent angenommen hat, ist die AHV-Reform in Eriz damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Eriz eine Rentenreform mit 75,7 Prozent Nein-Stimmen abgelehnt."
925,15.2,15.2,84.8,"Fahrni BE","Fahrni (BE)","Fahrni BE","84,8 Prozent der Stimmbürgerinnen und Stimmbürger von Fahrni sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 62 Prozent angenommen hat, ist die AHV-Reform in Fahrni damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Fahrni eine Rentenreform mit 62,1 Prozent Nein-Stimmen abgelehnt."
927,83.3,83.3,16.7,"Heiligenschwendi BE","Heiligenschwendi (BE)","Heiligenschwendi BE","83,3 Prozent der Stimmbürgerinnen und Stimmbürger von Heiligenschwendi haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 63,4 Prozent zugestimmt hat, ist die AHV-Reform in Heiligenschwendi damit angenommen worden. Damit hat in Heiligenschwendi im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,7 Prozent ein Nein in die Urne gelegt."
928,82.4,82.4,17.6,"Heimberg BE","Heimberg (BE)","Heimberg BE","Die Gemeinde Heimberg hat die Erhöhung des Frauenrentenalters auf 65 mit 82,4 Prozent angenommen. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 76,9 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Heimberg damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Heimberg eine Rentenreform mit 57,8 Prozent Nein-Stimmen abgelehnt."
929,49.3,49.3,50.7,"Hilterfingen BE","Hilterfingen (BE)","Hilterfingen BE","Hilterfingen hat die Erhöhung des Frauenrentenalters auf 65 mit 50,7 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 73,7 Prozent angenommen hat, ist die AHV-Reform in Hilterfingen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Hilterfingen eine Rentenreform mit 50,9 Prozent Nein-Stimmen abgelehnt."
931,8.8,8.8,91.2,"Homberg BE","Homberg (BE)","Homberg BE","91,2 Prozent der Stimmbürgerinnen und Stimmbürger von Homberg sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 93,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Homberg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Homberg eine Rentenreform mit 70,9 Prozent Nein-Stimmen abgelehnt."
932,88.6,88.6,11.4,"Horrenbach-Buchen BE","Horrenbach-Buchen (BE)","Horrenbach-Buchen BE","88,6 Prozent in Horrenbach-Buchen sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 65,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Horrenbach-Buchen damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Horrenbach-Buchen eine Rentenreform mit 73 Prozent Nein-Stimmen abgelehnt."
934,38.2,38.2,61.8,"Oberhofen am Thunersee BE","Oberhofen am Thunersee (BE)","Oberhofen am Thunersee BE","In Oberhofen am Thunersee hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 61,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 91,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Oberhofen am Thunersee damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberhofen am Thunersee eine Rentenreform mit 53,6 Prozent Nein-Stimmen abgelehnt."
935,90,90,10,"Oberlangenegg BE","Oberlangenegg (BE)","Oberlangenegg BE","90 Prozent der Stimmbürgerinnen und Stimmbürger von Oberlangenegg haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 50,5 Prozent zugestimmt hat, ist die AHV-Reform in Oberlangenegg damit angenommen worden. Damit hat in Oberlangenegg im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 79,1 Prozent ein Nein in die Urne gelegt."
936,30.4,30.4,69.6,"Pohlern BE","Pohlern (BE)","Pohlern BE","In Pohlern hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 69,6 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 78,5 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Pohlern damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Pohlern eine Rentenreform mit 72,1 Prozent Nein-Stimmen abgelehnt."
938,28.3,28.3,71.7,"Sigriswil BE","Sigriswil (BE)","Sigriswil BE","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Sigriswil: Mit 71,7 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 84,2 Prozent angenommen hat, ist die AHV-Reform in Sigriswil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Sigriswil eine Rentenreform mit 62,9 Prozent Nein-Stimmen abgelehnt."
939,49.5,49.5,50.5,"Steffisburg BE","Steffisburg (BE)","Steffisburg BE","50,5 Prozent der Stimmbürgerinnen und Stimmbürger von Steffisburg sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 95,6 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Steffisburg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Steffisburg eine Rentenreform mit 53,2 Prozent Nein-Stimmen abgelehnt."
940,49.6,49.6,50.4,"Teuffenthal BE","Teuffenthal (BE)","Teuffenthal BE","In Teuffenthal BE hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 50,4 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 69,1 Prozent angenommen hat, ist die AHV-Reform in Teuffenthal BE damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Teuffenthal BE eine Rentenreform mit 68,7 Prozent Nein-Stimmen abgelehnt."
941,26.6,26.6,73.4,"Thierachern BE","Thierachern (BE)","Thierachern BE","Keine Mehrheit für die Erhöhung des Frauenrentenalters auf 65 in Thierachern: Mit 73,4 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 77,5 Prozent angenommen hat, ist die AHV-Reform in Thierachern damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Thierachern eine Rentenreform mit 55,8 Prozent Nein-Stimmen abgelehnt."
942,31.7,31.7,68.3,"Thun BE","Thoune (BE)","Thun BE","68,3 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Thun. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 57,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Thun damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Thun eine Rentenreform mit 50,1 Prozent Nein-Stimmen abgelehnt."
943,15.8,15.8,84.2,"Uebeschi BE","Uebeschi (BE)","Uebeschi BE","Nein zur Erhöhung des Frauenrentenalters auf 65 in Uebeschi. Die Gemeinde hat das Volksbegehren mit 84,2 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 71,5 Prozent angenommen hat, ist die AHV-Reform in Uebeschi damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Uebeschi eine Rentenreform mit 68,6 Prozent Nein-Stimmen abgelehnt."
944,56.6,56.6,43.4,"Uetendorf BE","Uetendorf (BE)","Uetendorf BE","56,6 Prozent in Uetendorf sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 51,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Uetendorf damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Uetendorf eine Rentenreform mit 58,6 Prozent Nein-Stimmen abgelehnt."
945,26.5,26.5,73.5,"Unterlangenegg BE","Unterlangenegg (BE)","Unterlangenegg BE","73,5 Prozent der Stimmbürgerinnen und Stimmbürger von Unterlangenegg sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 79,6 Prozent angenommen hat, ist die AHV-Reform in Unterlangenegg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Unterlangenegg eine Rentenreform mit 66,2 Prozent Nein-Stimmen abgelehnt."
946,55.9,55.9,44.1,"Wachseldorn BE","Wachseldorn (BE)","Wachseldorn BE","55,9 Prozent der Stimmbürgerinnen und Stimmbürger von Wachseldorn haben die Erhöhung des Frauenrentenalters auf 65 angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 60,4 Prozent zugestimmt hat, ist die AHV-Reform in Wachseldorn damit angenommen worden. Damit hat in Wachseldorn im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 91,4 Prozent ein Nein in die Urne gelegt."
947,82.7,82.7,17.3,"Zwieselberg BE","Zwieselberg (BE)","Zwieselberg BE","Zwieselberg hat der Erhöhung des Frauenrentenalters auf 65 mit 82,7 Prozent  zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 68,1 Prozent zugestimmt hat, ist die AHV-Reform in Zwieselberg damit angenommen worden. Damit hat in Zwieselberg im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 55,3 Prozent ein Nein in die Urne gelegt."
948,48.3,48.3,51.7,"Forst-Längenbühl BE","Forst-Längenbühl (BE)","Forst-Längenbühl BE","In Forst-Längenbühl hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 51,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 54,4 Prozent angenommen hat, ist die AHV-Reform in Forst-Längenbühl damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Forst-Längenbühl eine Rentenreform mit 64,6 Prozent Nein-Stimmen abgelehnt."
951,81.1,81.1,18.9,"Affoltern im Emmental BE","Affoltern im Emmental (BE)","Affoltern im Emmental BE","81,1 Prozent der Abstimmenden in der Gemeinde Affoltern im Emmental haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 80,1 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Affoltern im Emmental damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Affoltern im Emmental eine Rentenreform mit 63 Prozent Nein-Stimmen abgelehnt."
952,17.1,17.1,82.9,"Dürrenroth BE","Dürrenroth (BE)","Dürrenroth BE","In Dürrenroth hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 82,9 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 70,5 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Dürrenroth damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dürrenroth eine Rentenreform mit 58,1 Prozent Nein-Stimmen abgelehnt."
953,20.6,20.6,79.4,"Eriswil BE","Eriswil (BE)","Eriswil BE","In Eriswil hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 79,4 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 60,3 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Eriswil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Eriswil eine Rentenreform mit 61,9 Prozent Nein-Stimmen abgelehnt."
954,64.4,64.4,35.6,"Huttwil BE","Huttwil (BE)","Huttwil BE","Die Gemeinde Huttwil hat die Erhöhung des Frauenrentenalters auf 65 mit 64,4 Prozent angenommen. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 50,5 Prozent zugestimmt hat, ist die AHV-Reform in Huttwil damit angenommen worden. Damit hat in Huttwil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 60,2 Prozent ein Nein in die Urne gelegt."
955,51.5,51.5,48.5,"Lützelflüh BE","Lützelflüh (BE)","Lützelflüh BE","51,5 Prozent der Abstimmenden in der Gemeinde Lützelflüh haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 61,3 Prozent zugestimmt hat, ist die AHV-Reform in Lützelflüh damit angenommen worden. Damit hat in Lützelflüh im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 57,9 Prozent ein Nein in die Urne gelegt."
956,98.8,98.8,1.2,"Rüegsau BE","Rüegsau (BE)","Rüegsau BE","98,8 Prozent in Rüegsau sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 71,9 Prozent zugestimmt hat, ist die AHV-Reform in Rüegsau damit angenommen worden. Damit hat in Rüegsau im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 60,1 Prozent ein Nein in die Urne gelegt."
957,43.5,43.5,56.5,"Sumiswald BE","Sumiswald (BE)","Sumiswald BE","56,5 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Sumiswald. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 88 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Sumiswald damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Sumiswald eine Rentenreform mit 58,6 Prozent Nein-Stimmen abgelehnt."
958,58.8,58.8,41.2,"Trachselwald BE","Trachselwald (BE)","Trachselwald BE","58,8 Prozent in Trachselwald sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 53,5 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Trachselwald damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Trachselwald eine Rentenreform mit 59,5 Prozent Nein-Stimmen abgelehnt."
959,69,69,31,"Walterswil BE","Walterswil (BE)","Walterswil BE","69 Prozent in Walterswil BE sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 50,4 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Walterswil BE damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Walterswil BE eine Rentenreform mit 66,7 Prozent Nein-Stimmen abgelehnt."
960,30.6,30.6,69.4,"Wyssachen BE","Wyssachen (BE)","Wyssachen BE","Nein zur Erhöhung des Frauenrentenalters auf 65 in Wyssachen. Die Gemeinde hat das Volksbegehren mit 69,4 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 65 Prozent angenommen hat, ist die AHV-Reform in Wyssachen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Wyssachen eine Rentenreform mit 57,7 Prozent Nein-Stimmen abgelehnt."
971,52.3,52.3,47.7,"Attiswil BE","Attiswil (BE)","Attiswil BE","52,3 Prozent in Attiswil sagen Ja zur Erhöhung des Frauenrentenalters auf 65 . Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 96,7 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Attiswil damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Attiswil eine Rentenreform mit 68,2 Prozent Nein-Stimmen abgelehnt."
972,9.2,9.2,90.8,"Berken BE","Berken (BE)","Berken BE","90,8 Prozent der Stimmbürgerinnen und Stimmbürger von Berken sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 96,7 Prozent angenommen hat, ist die AHV-Reform in Berken damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Berken eine Rentenreform mit 61,9 Prozent Nein-Stimmen abgelehnt."
973,45.7,45.7,54.3,"Bettenhausen BE","Bettenhausen (BE)","Bettenhausen BE","Nein zur Erhöhung des Frauenrentenalters auf 65 in Bettenhausen. Die Gemeinde hat das Volksbegehren mit 54,3 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 94,2 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Bettenhausen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Bettenhausen eine Rentenreform mit 60,9 Prozent Nein-Stimmen abgelehnt."
975,28.6,28.6,71.4,"Farnern BE","Farnern (BE)","Farnern BE","Farnern hat die Erhöhung des Frauenrentenalters auf 65 mit 71,4 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 63,8 Prozent angenommen hat, ist die AHV-Reform in Farnern damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Farnern eine Rentenreform mit 64,3 Prozent Nein-Stimmen abgelehnt."
976,68.8,68.8,31.2,"Graben BE","Graben (BE)","Graben BE","68,8 Prozent der Abstimmenden in der Gemeinde Graben haben Ja gesagt zur Erhöhung des Frauenrentenalters auf 65. Weil die Gemeinde die Erhöhung der Mehrwertsteuer aber mit 80 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Graben damit trotzdem gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Graben eine Rentenreform mit 70,6 Prozent Nein-Stimmen abgelehnt."
977,14,14,86,"Heimenhausen BE","Heimenhausen (BE)","Heimenhausen BE","Heimenhausen hat die Erhöhung des Frauenrentenalters auf 65 mit 86 Prozent abgelehnt. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 73,7 Prozent angenommen hat, ist die AHV-Reform in Heimenhausen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Heimenhausen eine Rentenreform mit 63,3 Prozent Nein-Stimmen abgelehnt."
979,65.6,65.6,34.4,"Herzogenbuchsee BE","Herzogenbuchsee (BE)","Herzogenbuchsee BE","65,6 Prozent in Herzogenbuchsee sagen Ja zur Erhöhung des Frauenrentenalters auf 65 ."
980,83.5,83.5,16.5,"Inkwil BE","Inkwil (BE)","Inkwil BE","Inkwil hat der Erhöhung des Frauenrentenalters auf 65 mit 83,5 Prozent  zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 97,5 Prozent zugestimmt hat, ist die AHV-Reform in Inkwil damit angenommen worden. Damit hat in Inkwil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 60,3 Prozent ein Nein in die Urne gelegt."
981,54.8,54.8,45.2,"Niederbipp BE","Niederbipp (BE)","Niederbipp BE","In Niederbipp hat die Stimmbevölkerung der Erhöhung des Frauenrentenalters auf 65 mit einem Ja-Stimmen-Anteil von 54,8 Prozent zugestimmt. Da die Gemeinde auch der Erhöhung der Mehrwertsteuer mit 87,6 Prozent zugestimmt hat, ist die AHV-Reform in Niederbipp damit angenommen worden. Damit hat in Niederbipp im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 66,5 Prozent ein Nein in die Urne gelegt."
982,15,15,85,"Niederönz BE","Niederönz (BE)","Niederönz BE","85 Prozent der Stimmbürgerinnen und Stimmbürger von Niederönz sagen Nein zur Erhöhung des Frauenrentenalters auf 65. Obwohl die Gemeinde der Erhöhung der Mehrwertsteuer mit 65,1 Prozent angenommen hat, ist die AHV-Reform in Niederönz damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Niederönz eine Rentenreform mit 58,1 Prozent Nein-Stimmen abgelehnt."
983,9.6,9.6,90.4,"Oberbipp BE","Oberbipp (BE)","Oberbipp BE","In Oberbipp hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 90,4 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 52,7 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Oberbipp damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberbipp eine Rentenreform mit 65,5 Prozent Nein-Stimmen abgelehnt."
985,15,15,85,"Ochlenberg BE","Ochlenberg (BE)","Ochlenberg BE","In Ochlenberg hat die Erhöhung des Frauenrentenalters auf 65 keine Mehrheit gefunden. Auf 85 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 53,8 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Ochlenberg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Ochlenberg eine Rentenreform mit 59,4 Prozent Nein-Stimmen abgelehnt."
987,38.9,38.9,61.1,"Rumisberg BE","Rumisberg (BE)","Rumisberg BE","61,1 Prozent Nein zur Erhöhung des Frauenrentenalters auf 65 in Rumisberg. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 78 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Rumisberg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Rumisberg eine Rentenreform mit 67 Prozent Nein-Stimmen abgelehnt."
988,42.2,42.2,57.8,"Seeberg BE","Seeberg (BE)","Seeberg BE","In Seeberg hat die Stimmbevölkerung die Erhöhung des Frauenrentenalters auf 65 mit 57,8 Prozent abgelehnt. Da die Gemeinde auch die Erhöhung der Mehrwertsteuer mit 61,5 Prozent Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Seeberg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Seeberg eine Rentenreform mit 55,6 Prozent Nein-Stimmen abgelehnt."
