"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_i"
393,56.5,56.5,43.5,"Rüti bei Büren BE","Rüti bei Büren (BE)","Rüti bei Büren BE","Da Rüti bei Büren è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 56,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 56,7 percento dei voti. Rüti bei Büren ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
394,27,27,73,"Wengi BE","Wengi (BE)","Wengi BE","Nel comune di Wengi l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 73 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 25,1 percento dei voti. A Wengi come nel 2017 gli elettroi hanno detto no - con il 57,7 percento dei voti – alla riforma dell'AVS."
401,59.7,59.7,40.3,"Aefligen BE","Aefligen (BE)","Aefligen BE","A Aefligen i cittadini hanno accolto, con il 59,7 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 67,7 percento dei voti. Aefligen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
402,6.3,6.3,93.7,"Alchenstorf BE","Alchenstorf (BE)","Alchenstorf BE","Nel comune di Alchenstorf l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 93,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 39,7 percento dei voti. A Alchenstorf come nel 2017 gli elettroi hanno detto no - con il 61,7 percento dei voti – alla riforma dell'AVS."
403,50.5,50.5,49.5,"Bäriswil BE","Bäriswil (BE)","Bäriswil BE","Da Bäriswil è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 50,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 6,1 percento dei voti. A Bäriswil come nel 2017 gli elettroi hanno detto no - con il 52,7 percento dei voti – alla riforma dell'AVS."
404,76.3,76.3,23.7,"Burgdorf BE","Berthoud (BE)","Burgdorf BE","Nel comune di Burgdorf l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 76,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 4,8 percento dei voti. Burgdorf ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
405,83.2,83.2,16.8,"Ersigen BE","Ersigen (BE)","Ersigen BE","Nel comune di Ersigen l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 83,2 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 38,9 percento dei voti. A Ersigen come nel 2017 gli elettroi hanno detto no - con il 55,6 percento dei voti – alla riforma dell'AVS."
406,4,4,96,"Hasle bei Burgdorf BE","Hasle bei Burgdorf (BE)","Hasle bei Burgdorf BE","I cittadini di Hasle bei Burgdorf si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 96 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 38,1 percento dei voti. A Hasle bei Burgdorf come nel 2017 gli elettroi hanno detto no - con il 52,9 percento dei voti – alla riforma dell'AVS."
407,76.8,76.8,23.2,"Heimiswil BE","Heimiswil (BE)","Heimiswil BE","Nel comune di Heimiswil l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 76,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 73,1 percento dei voti. Heimiswil ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
409,36.5,36.5,63.5,"Hindelbank BE","Hindelbank (BE)","Hindelbank BE","A Hindelbank i cittadini hanno respinto, con il 63,5 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 55,5 percento dei voti. A Hindelbank come nel 2017 gli elettroi hanno detto no - con il 50,7 percento dei voti – alla riforma dell'AVS."
410,18.4,18.4,81.6,"Höchstetten BE","Höchstetten (BE)","Höchstetten BE","Da Höchstetten è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 81,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 46,2 percento dei voti. A Höchstetten come nel 2017 gli elettroi hanno detto no - con il 59,7 percento dei voti – alla riforma dell'AVS."
411,58,58,42,"Kernenried BE","Kernenried (BE)","Kernenried BE","Da Kernenried è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 58 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 32,7 percento dei voti. A Kernenried come nel 2017 gli elettroi hanno detto no - con il 65,5 percento dei voti – alla riforma dell'AVS."
412,94,94,6,"Kirchberg BE","Kirchberg (BE)","Kirchberg BE","Con il 94 percento di ""sì"", i cittadini del comune di Kirchberg BE hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 38,7 percento dei voti. A Kirchberg BE come nel 2017 gli elettroi hanno detto no - con il 54,1 percento dei voti – alla riforma dell'AVS."
413,12.6,12.6,87.4,"Koppigen BE","Koppigen (BE)","Koppigen BE","I cittadini di Koppigen si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 87,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 79,9 percento dei voti. A Koppigen come nel 2017 gli elettroi hanno detto no - con il 55,8 percento dei voti – alla riforma dell'AVS."
414,62.9,62.9,37.1,"Krauchthal BE","Krauchthal (BE)","Krauchthal BE","Nel comune di Krauchthal l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 62,9 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 28,6 percento dei voti. A Krauchthal come nel 2017 gli elettroi hanno detto no - con il 59,2 percento dei voti – alla riforma dell'AVS."
415,65.6,65.6,34.4,"Lyssach BE","Lyssach (BE)","Lyssach BE","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Lyssach: i cittadini hanno approvato il testo con il 65,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 56,2 percento dei voti. Lyssach ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
418,3.6,3.6,96.4,"Oberburg BE","Oberburg (BE)","Oberburg BE","Da Oberburg è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 96,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 54,7 percento dei voti. A Oberburg come nel 2017 gli elettroi hanno detto no - con il 54,5 percento dei voti – alla riforma dell'AVS."
420,24.4,24.4,75.6,"Rüdtligen-Alchenflüh BE","Rüdtligen-Alchenflüh (BE)","Rüdtligen-Alchenflüh BE","Con il 75,6 percento di ""no"", i cittadini del comune di Rüdtligen-Alchenflüh hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 44,1 percento dei voti. A Rüdtligen-Alchenflüh come nel 2017 gli elettroi hanno detto no - con il 60,4 percento dei voti – alla riforma dell'AVS."
421,36.8,36.8,63.2,"Rumendingen BE","Rumendingen (BE)","Rumendingen BE","Nel comune di Rumendingen l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 63,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 24,3 percento dei voti. A Rumendingen come nel 2017 gli elettroi hanno detto no - con il 69 percento dei voti – alla riforma dell'AVS."
422,14.8,14.8,85.2,"Rüti bei Lyssach BE","Rüti bei Lyssach (BE)","Rüti bei Lyssach BE","Nel comune di Rüti bei Lyssach l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 85,2 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 51,1 percento dei voti. Impossibile comparare il risultato odierno di Rüti bei Lyssach con quello del 2017. Questo a causa di fusioni fra varie realtà comunali."
423,45.7,45.7,54.3,"Willadingen BE","Willadingen (BE)","Willadingen BE","Da Willadingen è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 54,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 49,8 percento dei voti. A Willadingen come nel 2017 gli elettroi hanno detto no - con il 61,2 percento dei voti – alla riforma dell'AVS."
424,70.4,70.4,29.6,"Wynigen BE","Wynigen (BE)","Wynigen BE","Nel comune di Wynigen l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 70,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 30,5 percento dei voti. A Wynigen come nel 2017 gli elettroi hanno detto no - con il 59,5 percento dei voti – alla riforma dell'AVS."
431,99.7,99.7,0.3,"Corgémont BE","Corgémont (BE)","Corgémont BE","Nel comune di Corgémont l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 99,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 11,2 percento dei voti. A Corgémont come nel 2017 gli elettroi hanno detto no - con il 59,3 percento dei voti – alla riforma dell'AVS."
432,58.8,58.8,41.2,"Cormoret BE","Cormoret (BE)","Cormoret BE","Nel comune di Cormoret l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 58,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 55,9 percento dei voti. A Cormoret come nel 2017 gli elettori hanno detto sì - con il 53,2 percento dei voti – alla riforma dell'AVS."
433,45.2,45.2,54.8,"Cortébert BE","Cortébert (BE)","Cortébert BE","Da Cortébert è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 54,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 79,6 percento dei voti. A Cortébert come nel 2017 gli elettroi hanno detto no - con il 60,7 percento dei voti – alla riforma dell'AVS."
434,45.4,45.4,54.6,"Courtelary BE","Courtelary (BE)","Courtelary BE","Nel comune di Courtelary l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 54,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 43,9 percento dei voti. A Courtelary come nel 2017 gli elettroi hanno detto no - con il 57,6 percento dei voti – alla riforma dell'AVS."
435,34.2,34.2,65.8,"La Ferrière BE","La Ferrière (BE)","La Ferrière BE","I cittadini di La Ferrière si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 65,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 24,7 percento dei voti. A La Ferrière come nel 2017 gli elettroi hanno detto no - con il 51,4 percento dei voti – alla riforma dell'AVS."
437,38.5,38.5,61.5,"Mont-Tramelan BE","Mont-Tramelan (BE)","Mont-Tramelan BE","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Mont-Tramelan: i cittadini hanno bocciato il testo con il 61,5 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 40,7 percento dei voti. A Mont-Tramelan come nel 2017 gli elettroi hanno detto no - con il 56,2 percento dei voti – alla riforma dell'AVS."
438,10.1,10.1,89.9,"Orvin BE","Orvin (BE)","Orvin BE","No all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Orvin: i cittadini hanno bocciato il testo con il 89,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 32,3 percento dei voti. A Orvin come nel 2017 gli elettroi hanno detto no - con il 59,1 percento dei voti – alla riforma dell'AVS."
441,64.8,64.8,35.2,"Renan BE","Renan (BE)","Renan BE","A Renan BE i cittadini hanno accolto, con il 64,8 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 44,4 percento dei voti. A Renan BE come nel 2017 gli elettroi hanno detto no - con il 53,2 percento dei voti – alla riforma dell'AVS."
442,83.5,83.5,16.5,"Romont BE","Romont (BE)","Romont BE","Da Romont BE è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 83,5 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 16,1 percento dei voti. A Romont BE come nel 2017 gli elettroi hanno detto no - con il 61,3 percento dei voti – alla riforma dell'AVS."
443,34,34,66,"St. Immer BE","Saint-Imier (BE)","St. Immer BE","Nel comune di St. Immer l'aumento dell'età pensionabile delle donne a 65 anni è stato respinto con il 66 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 37 percento dei voti. A St. Immer come nel 2017 gli elettroi hanno detto no - con il 54,5 percento dei voti – alla riforma dell'AVS."
444,45.7,45.7,54.3,"Sonceboz-Sombeval BE","Sonceboz-Sombeval (BE)","Sonceboz-Sombeval BE","Da Sonceboz-Sombeval è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 54,3 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 22,1 percento dei voti. A Sonceboz-Sombeval come nel 2017 gli elettroi hanno detto no - con il 59 percento dei voti – alla riforma dell'AVS."
445,41.4,41.4,58.6,"Sonvilier BE","Sonvilier (BE)","Sonvilier BE","Da Sonvilier è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 58,6 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 55,4 percento dei voti. A Sonvilier come nel 2017 gli elettroi hanno detto no - con il 63 percento dei voti – alla riforma dell'AVS."
446,84.4,84.4,15.6,"Tramelan BE","Tramelan (BE)","Tramelan BE","Da Tramelan è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 84,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 41,4 percento dei voti. Tramelan ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
448,26.2,26.2,73.8,"Villeret BE","Villeret (BE)","Villeret BE","Nel comune di Villeret l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 73,8 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 6,9 percento dei voti. A Villeret come nel 2017 gli elettroi hanno detto no - con il 53,4 percento dei voti – alla riforma dell'AVS."
449,29.5,29.5,70.5,"Sauge BE","Sauge (BE)","Sauge BE","A Sauge i cittadini hanno respinto, con il 70,5 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 17,7 percento dei voti. A Sauge come nel 2017 gli elettroi hanno detto no - con il 58,9 percento dei voti – alla riforma dell'AVS."
450,31.2,31.2,68.8,"Péry-La Heutte BE","Péry-La Heutte (BE)","Péry-La Heutte BE","I cittadini di Péry-La Heutte si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 68,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 52 percento dei voti. A Péry-La Heutte come nel 2017 gli elettroi hanno detto no - con il 63,5 percento dei voti – alla riforma dell'AVS."
491,88.1,88.1,11.9,"Brüttelen BE","Brüttelen (BE)","Brüttelen BE","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Brüttelen: i cittadini hanno approvato il testo con il 88,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 94,3 percento dei voti. Brüttelen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
492,56.7,56.7,43.3,"Erlach BE","Cerlier (BE)","Erlach BE","Da Erlach è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 56,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 73,7 percento dei voti. A Erlach come nel 2017 gli elettori hanno detto sì - con il 55,7 percento dei voti – alla riforma dell'AVS."
493,71.4,71.4,28.6,"Finsterhennen BE","Finsterhennen (BE)","Finsterhennen BE","Nel comune di Finsterhennen l'aumento dell'età pensionabile delle donne a 65 anni è stato accettato con il 71,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 83,7 percento dei voti. Finsterhennen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
494,64.4,64.4,35.6,"Gals BE","Gals (BE)","Gals BE","Da Gals è arrivato un ""sì"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno accolto il testo con il 64,4 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 55,1 percento dei voti. A Gals come nel 2017 gli elettori hanno detto sì - con il 51,8 percento dei voti – alla riforma dell'AVS."
495,70.2,70.2,29.8,"Gampelen BE","Champion (Gampelen) (BE)","Gampelen BE","I cittadini di Gampelen si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 70,2 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 62,3 percento dei voti. Gampelen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
496,37.7,37.7,62.3,"Ins BE","Anet (BE)","Ins BE","Con il 62,3 percento di ""no"", i cittadini del comune di Ins hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 38,4 percento dei voti. Ins ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
497,50.4,50.4,49.6,"Lüscherz BE","Lüscherz (BE)","Lüscherz BE","Nel comune di Lüscherz l'aumento dell'età pensionabile delle donne a 65 anni è stato approvato con il 50,4 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 45,2 percento dei voti. Lüscherz ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
498,21.4,21.4,78.6,"Müntschemier BE","Müntschemier (BE)","Müntschemier BE","I cittadini di Müntschemier si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 78,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 40,9 percento dei voti. A Müntschemier come nel 2017 gli elettroi hanno detto no - con il 67 percento dei voti – alla riforma dell'AVS."
499,74.2,74.2,25.8,"Siselen BE","Siselen (BE)","Siselen BE","A Siselen i cittadini hanno accolto, con il 74,2 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 77 percento dei voti. Siselen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
500,43.4,43.4,56.6,"Treiten BE","Treiten (BE)","Treiten BE","A Treiten i cittadini hanno respinto, con il 56,6 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece accettata con il 52,8 percento dei voti. A Treiten come nel 2017 gli elettroi hanno detto no - con il 66,7 percento dei voti – alla riforma dell'AVS."
501,38.4,38.4,61.6,"Tschugg BE","Tschugg (BE)","Tschugg BE","Da Tschugg è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 61,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 8,5 percento dei voti. Tschugg ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
502,17.4,17.4,82.6,"Vinelz BE","Vinelz (BE)","Vinelz BE","Da Vinelz è arrivato un ""no"" alle urne per l'aumento dell'età pensionabile delle donne a 65 anni. I cittadini hanno respinto il testo con il 82,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 33,3 percento dei voti. A Vinelz come nel 2017 gli elettroi hanno detto no - con il 52,4 percento dei voti – alla riforma dell'AVS."
533,54.8,54.8,45.2,"Bätterkinden BE","Bätterkinden (BE)","Bätterkinden BE","Con il 54,8 percento di ""sì"", i cittadini del comune di Bätterkinden hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 7,3 percento dei voti. A Bätterkinden come nel 2017 gli elettroi hanno detto no - con il 52 percento dei voti – alla riforma dell'AVS."
536,42.7,42.7,57.3,"Diemerswil BE","Diemerswil (BE)","Diemerswil BE","Nel comune di Diemerswil l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 57,3 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 80,2 percento dei voti. A Diemerswil come nel 2017 gli elettroi hanno detto no - con il 55,4 percento dei voti – alla riforma dell'AVS."
538,89.5,89.5,10.5,"Fraubrunnen BE","Fraubrunnen (BE)","Fraubrunnen BE","Con il 89,5 percento di ""sì"", i cittadini del comune di Fraubrunnen hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 35,8 percento dei voti. A Fraubrunnen come nel 2017 gli elettroi hanno detto no - con il 50,5 percento dei voti – alla riforma dell'AVS."
540,92.8,92.8,7.2,"Jegenstorf BE","Jegenstorf (BE)","Jegenstorf BE","A Jegenstorf i cittadini hanno accolto, con il 92,8 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 52,1 percento dei voti. A Jegenstorf come nel 2017 gli elettori hanno detto sì - con il 54,3 percento dei voti – alla riforma dell'AVS."
541,47.2,47.2,52.8,"Iffwil BE","Iffwil (BE)","Iffwil BE","I cittadini di Iffwil si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 52,8 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 67,8 percento dei voti. A Iffwil come nel 2017 gli elettroi hanno detto no - con il 53 percento dei voti – alla riforma dell'AVS."
543,84.2,84.2,15.8,"Mattstetten BE","Mattstetten (BE)","Mattstetten BE","A Mattstetten i cittadini hanno accolto, con il 84,2 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 63,1 percento dei voti. Mattstetten ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
544,49.3,49.3,50.7,"Moosseedorf BE","Moosseedorf (BE)","Moosseedorf BE","I cittadini di Moosseedorf si sono opposti all'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato respinto con il 50,7 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 30,7 percento dei voti. Moosseedorf ha cambiato fazione: nel 2017 era a favore della riforma AVS, mentre ora la boccia."
546,69,69,31,"Münchenbuchsee BE","Münchenbuchsee (BE)","Münchenbuchsee BE","Con il 69 percento di ""sì"", i cittadini del comune di Münchenbuchsee hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 57,4 percento dei voti. A Münchenbuchsee come nel 2017 gli elettori hanno detto sì - con il 53,4 percento dei voti – alla riforma dell'AVS."
551,66.1,66.1,33.9,"Urtenen-Schönbühl BE","Urtenen-Schönbühl (BE)","Urtenen-Schönbühl BE","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Urtenen-Schönbühl: i cittadini hanno approvato il testo con il 66,1 percento dei voti. La seconda proposta concernente l'AVS è stata invece respinta con il 49,8 percento dei voti. A Urtenen-Schönbühl come nel 2017 gli elettroi hanno detto no - con il 51,8 percento dei voti – alla riforma dell'AVS."
552,60.9,60.9,39.1,"Utzenstorf BE","Utzenstorf (BE)","Utzenstorf BE","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Utzenstorf: i cittadini hanno approvato il testo con il 60,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 53,1 percento dei voti. Utzenstorf ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
553,92.5,92.5,7.5,"Wiggiswil BE","Wiggiswil (BE)","Wiggiswil BE","A Wiggiswil i cittadini hanno accolto, con il 92,5 percento dei voti, l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 51,9 percento dei voti. Wiggiswil ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
554,38.5,38.5,61.5,"Wiler bei Utzenstorf BE","Wiler bei Utzenstorf (BE)","Wiler bei Utzenstorf BE","Con il 61,5 percento di ""no"", i cittadini del comune di Wiler bei Utzenstorf hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 37,8 percento dei voti. A Wiler bei Utzenstorf come nel 2017 gli elettroi hanno detto no - con il 58 percento dei voti – alla riforma dell'AVS."
556,55.9,55.9,44.1,"Zielebach BE","Zielebach (BE)","Zielebach BE","Sì all'aumento dell'età pensionabile delle donne a 65 anni nel comune di Zielebach: i cittadini hanno approvato il testo con il 55,9 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 55,6 percento dei voti. Zielebach ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
557,84.2,84.2,15.8,"Zuzwil BE","Zuzwil (BE)","Zuzwil BE BE","Con il 84,2 percento di ""sì"", i cittadini del comune di Zuzwil BE hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. La seconda proposta concernente l'AVS è stata invece respinta con il 31,9 percento dei voti. A Zuzwil BE come nel 2017 gli elettroi hanno detto no - con il 56,8 percento dei voti – alla riforma dell'AVS."
561,26.9,26.9,73.1,"Adelboden BE","Adelboden (BE)","Adelboden BE","Nel comune di Adelboden l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 73,1 percento dei voti. Anche la seconda proposta concernente l'AVS è stata respinta con il 15,2 percento dei voti. A Adelboden come nel 2017 gli elettroi hanno detto no - con il 64,1 percento dei voti – alla riforma dell'AVS."
562,47.3,47.3,52.7,"Aeschi bei Spiez BE","Aeschi bei Spiez (BE)","Aeschi bei Spiez BE","Nel comune di Aeschi bei Spiez l'aumento dell'età pensionabile delle donne a 65 anni è stato bocciato con il 52,7 percento dei voti. La seconda proposta concernente l'AVS è stata invece accettata con il 83,3 percento dei voti. A Aeschi bei Spiez come nel 2017 gli elettroi hanno detto no - con il 56,4 percento dei voti – alla riforma dell'AVS."
563,51.6,51.6,48.4,"Frutigen BE","Frutigen (BE)","Frutigen BE","I cittadini di Frutigen si sono espressi a favore dell'aumento dell'età pensionabile delle donne a 65 anni. Il testo è stato approvato con il 51,6 percento dei voti. Anche la seconda proposta concernente l'AVS è stata accettata con il 81,8 percento dei voti. Frutigen ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
564,33.9,33.9,66.1,"Kandergrund BE","Kandergrund (BE)","Kandergrund BE","Con il 66,1 percento di ""no"", i cittadini del comune di Kandergrund hanno bocciato l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata respinta con il 12,8 percento dei voti. A Kandergrund come nel 2017 gli elettroi hanno detto no - con il 66,7 percento dei voti – alla riforma dell'AVS."
565,97.3,97.3,2.7,"Kandersteg BE","Kandersteg (BE)","Kandersteg BE","Con il 97,3 percento di ""sì"", i cittadini del comune di Kandersteg hanno accolto l'aumento dell'età pensionabile delle donne a 65 anni. Anche la seconda proposta concernente l'AVS è stata accettata con il 70,7 percento dei voti. Kandersteg ha cambiato fazione: nel 2017 aveva rifiutato la riforma dell'AVS, mentre ora la approva."
