"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_f"
738,9.8,9.8,90.2,"Jens BE","Jens (BE)","Jens BE","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Jens avec 90,2 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 66,6 pour cent de non. Jens avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
739,74.1,74.1,25.9,"Ipsach BE","Ipsach (BE)","Ipsach BE","Les habitants d'Ipsach acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 74,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 60,3 pour cent de non. Les citoyens d'Ipsach avaient déjà refusé la précédente révision de l'AVS en 2017."
740,67.5,67.5,32.5,"Ligerz BE","Gléresse (BE)","Ligerz BE","C'est oui à 67,5 pour cent à la réforme de l'AVS à Gléresse. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 53,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Gléresse passe cette fois-ci du côté du oui."
741,70.8,70.8,29.2,"Merzligen BE","Merzligen (BE)","Merzligen BE","Les électeurs de Merzligen valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 70,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 62,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Merzligen passe cette fois-ci du côté du oui."
742,56.6,56.6,43.4,"Mörigen BE","Mörigen (BE)","Mörigen BE","A Mörigen, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 56,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 50,9 pour cent de non. Les citoyens de Mörigen avaient déjà refusé la précédente révision de l'AVS en 2017."
743,69.9,69.9,30.1,"Nidau BE","Nidau (BE)","Nidau BE","C'est oui à 69,9 pour cent à la réforme de l'AVS à Nidau. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 68 pour cent de non. Nidau avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
744,60.4,60.4,39.6,"Orpund BE","Orpund (BE)","Orpund BE","Les habitants d'Orpund acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 60,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 65,5 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Orpund passe cette fois-ci du côté du oui."
745,87.5,87.5,12.5,"Port BE","Port (BE)","Port BE","A Port, les habitants disent oui à 87,5 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 98,2 pour cent de non. Les citoyens de Port avaient déjà refusé la précédente révision de l'AVS en 2017."
746,40.7,40.7,59.3,"Safnern BE","Safnern (BE)","Safnern BE","A Safnern, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 59,3 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 72,9 pour cent des suffrages. Les citoyens de Safnern avaient déjà refusé la précédente révision de l'AVS en 2017."
747,19.2,19.2,80.8,"Scheuren BE","Scheuren (BE)","Scheuren BE","Les habitants de Scheuren s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 80,8 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 73,5 pour cent de non. Les citoyens de Scheuren avaient déjà refusé la précédente révision de l'AVS en 2017."
748,24.5,24.5,75.5,"Schwadernau BE","Schwadernau (BE)","Schwadernau BE","Les habitants de Schwadernau rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 75,5 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 62,7 pour cent des suffrages. Les citoyens de Schwadernau avaient déjà refusé la précédente révision de l'AVS en 2017."
749,70.4,70.4,29.6,"Studen BE","Studen (BE)","Studen BE BE","Les électeurs de Studen (BE) valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 70,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 83,3 pour cent de non. Les citoyens de Studen (BE) avaient déjà refusé la précédente révision de l'AVS en 2017."
750,37.3,37.3,62.7,"Sutz-Lattrigen BE","Sutz-Lattrigen (BE)","Sutz-Lattrigen BE","C'est non à 62,7 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Sutz-Lattrigen. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 98,4 pour cent des suffrages. Les citoyens de Sutz-Lattrigen avaient déjà refusé la précédente révision de l'AVS en 2017."
751,99.6,99.6,0.4,"Täuffelen BE","Täuffelen (BE)","Täuffelen BE","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Täuffelen avec 99,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 88,6 pour cent de non. Les citoyens de Täuffelen avaient déjà refusé la précédente révision de l'AVS en 2017."
754,55.4,55.4,44.6,"Walperswil BE","Walperswil (BE)","Walperswil BE","A Walperswil, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 55,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 56,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Walperswil passe cette fois-ci du côté du oui."
755,46.8,46.8,53.2,"Worben BE","Worben (BE)","Worben BE","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Worben avec 53,2 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 50,5 pour cent de non. Les citoyens de Worben avaient déjà refusé la précédente révision de l'AVS en 2017."
756,30.3,30.3,69.7,"Twann-Tüscherz BE","Douanne-Daucher (BE)","Twann-Tüscherz BE","Les habitants de Douanne-Daucher s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 69,7 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 92,3 pour cent des suffrages. Douanne-Daucher avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
761,44.4,44.4,55.6,"Därstetten BE","Därstetten (BE)","Därstetten BE","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Därstetten avec 55,6 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 56,5 pour cent de non. Les citoyens de Därstetten avaient déjà refusé la précédente révision de l'AVS en 2017."
762,72.9,72.9,27.1,"Diemtigen BE","Diemtigen (BE)","Diemtigen BE","C'est oui à 72,9 pour cent à la réforme de l'AVS à Diemtigen. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 60,4 pour cent de non. Les citoyens de Diemtigen avaient déjà refusé la précédente révision de l'AVS en 2017."
763,16.5,16.5,83.5,"Erlenbach im Simmental BE","Erlenbach im Simmental (BE)","Erlenbach im Simmental BE","C'est non à 83,5 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Erlenbach im Simmental. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 73,1 pour cent de non. Les citoyens d'Erlenbach im Simmental avaient déjà refusé la précédente révision de l'AVS en 2017."
766,86.8,86.8,13.2,"Oberwil im Simmental BE","Oberwil im Simmental (BE)","Oberwil im Simmental BE","Les habitants d'Oberwil im Simmental acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 86,8 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 69,9 pour cent de non. Les citoyens d'Oberwil im Simmental avaient déjà refusé la précédente révision de l'AVS en 2017."
767,68.6,68.6,31.4,"Reutigen BE","Reutigen (BE)","Reutigen BE","Les électeurs de Reutigen valident la révision de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, avec 68,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 88,3 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Reutigen passe cette fois-ci du côté du oui."
768,60.2,60.2,39.8,"Spiez BE","Spiez (BE)","Spiez BE","A Spiez, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 60,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 70,1 pour cent de non. Spiez avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
769,38.7,38.7,61.3,"Wimmis BE","Wimmis (BE)","Wimmis BE","A Wimmis, les habitants disent non à 61,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 54,2 pour cent des suffrages. Les citoyens de Wimmis avaient déjà refusé la précédente révision de l'AVS en 2017."
770,47,47,53,"Stocken-Höfen BE","Stocken-Höfen (BE)","Stocken-Höfen BE","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Stocken-Höfen avec 53 pour cent des suffrages. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 57,3 pour cent de non. Les citoyens de Stocken-Höfen avaient déjà refusé la précédente révision de l'AVS en 2017."
782,33.7,33.7,66.3,"Guttannen BE","Guttannen (BE)","Guttannen BE","Les habitants de Guttannen rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 66,3 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 84,6 pour cent de non. Les citoyens de Guttannen avaient déjà refusé la précédente révision de l'AVS en 2017."
783,31.3,31.3,68.7,"Hasliberg BE","Hasliberg (BE)","Hasliberg BE","A Hasliberg, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 68,7 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 60,4 pour cent de non. Les citoyens de Hasliberg avaient déjà refusé la précédente révision de l'AVS en 2017."
784,54.2,54.2,45.8,"Innertkirchen BE","Innertkirchen (BE)","Innertkirchen BE","Les habitants d'Innertkirchen approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 54,2 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 86 pour cent de non. Les citoyens d'Innertkirchen avaient déjà refusé la précédente révision de l'AVS en 2017."
785,49.3,49.3,50.7,"Meiringen BE","Meiringen (BE)","Meiringen BE","A Meiringen, les habitants disent non à 50,7 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 85,3 pour cent des suffrages. Les citoyens de Meiringen avaient déjà refusé la précédente révision de l'AVS en 2017."
786,20.1,20.1,79.9,"Schattenhalb BE","Schattenhalb (BE)","Schattenhalb BE","A Schattenhalb, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 79,9 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 74,8 pour cent des suffrages. Les citoyens de Schattenhalb avaient déjà refusé la précédente révision de l'AVS en 2017."
791,21.3,21.3,78.7,"Boltigen BE","Boltigen (BE)","Boltigen BE","Les habitants de Boltigen s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 78,7 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 61,5 pour cent des suffrages. Les citoyens de Boltigen avaient déjà refusé la précédente révision de l'AVS en 2017."
792,51.8,51.8,48.2,"Lenk BE","Lenk (BE)","Lenk BE","C'est oui à 51,8 pour cent à la réforme de l'AVS à Lenk. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 83,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Lenk passe cette fois-ci du côté du oui."
793,27.6,27.6,72.4,"St. Stephan BE","Saint-Etienne (BE)","St. Stephan BE","Les habitants de Saint-Etienne s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 72,4 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 72,6 pour cent de non. Les citoyens de Saint-Etienne avaient déjà refusé la précédente révision de l'AVS en 2017."
794,49.3,49.3,50.7,"Zweisimmen BE","Zweisimmen (BE)","Zweisimmen BE","A Zweisimmen, les habitants disent non à 50,7 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 64 pour cent de non. Les citoyens de Zweisimmen avaient déjà refusé la précédente révision de l'AVS en 2017."
841,32,32,68,"Gsteig BE","Gsteig (BE)","Gsteig BE","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, échoue à Gsteig avec 68 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 64,2 pour cent de non. Les citoyens de Gsteig avaient déjà refusé la précédente révision de l'AVS en 2017."
842,41.3,41.3,58.7,"Lauenen BE","Lauenen (BE)","Lauenen BE","C'est non à 58,7 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Lauenen. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 81,7 pour cent des suffrages. Les citoyens de Lauenen avaient déjà refusé la précédente révision de l'AVS en 2017."
843,11,11,89,"Saanen BE","Gessenay (BE)","Saanen BE","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Gessenay avec 89 pour cent des suffrages. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 70,3 pour cent des suffrages. Les citoyens de Gessenay avaient déjà refusé la précédente révision de l'AVS en 2017."
852,62.7,62.7,37.3,"Guggisberg BE","Guggisberg (BE)","Guggisberg BE","Les habitants de Guggisberg approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 62,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 62,8 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Guggisberg passe cette fois-ci du côté du oui."
853,30.8,30.8,69.2,"Rüschegg BE","Rüschegg (BE)","Rüschegg BE","Les habitants de Rüschegg rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 69,2 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 81,4 pour cent des suffrages. Les citoyens de Rüschegg avaient déjà refusé la précédente révision de l'AVS en 2017."
855,23.8,23.8,76.2,"Schwarzenburg BE","Schwarzenburg (BE)","Schwarzenburg BE","Les habitants de Schwarzenburg s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 76,2 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 81 pour cent de non. Les citoyens de Schwarzenburg avaient déjà refusé la précédente révision de l'AVS en 2017."
861,88.7,88.7,11.3,"Belp BE","Belp (BE)","Belp BE","A Belp, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 88,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 67,3 pour cent de non. Les citoyens de Belp avaient déjà refusé la précédente révision de l'AVS en 2017."
863,40.7,40.7,59.3,"Burgistein BE","Burgistein (BE)","Burgistein BE","C'est non à 59,3 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Burgistein. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 61,1 pour cent des suffrages. Les citoyens de Burgistein avaient déjà refusé la précédente révision de l'AVS en 2017."
866,43.5,43.5,56.5,"Gerzensee BE","Gerzensee (BE)","Gerzensee BE","Les habitants de Gerzensee rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 56,5 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 79,8 pour cent de non. Les citoyens de Gerzensee avaient déjà refusé la précédente révision de l'AVS en 2017."
867,40.3,40.3,59.7,"Gurzelen BE","Gurzelen (BE)","Gurzelen BE","A Gurzelen, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 59,7 pour cent de non. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 53,2 pour cent des suffrages. Les citoyens de Gurzelen avaient déjà refusé la précédente révision de l'AVS en 2017."
868,61.6,61.6,38.4,"Jaberg BE","Jaberg (BE)","Jaberg BE","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Jaberg avec 61,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 63,9 pour cent des voix. Il n'est pas possible de comparer le résultat du vote de cette commune avec celui de la précédente révision en 2017. La commune a certainement fusionné depuis 2017."
869,43.1,43.1,56.9,"Kaufdorf BE","Kaufdorf (BE)","Kaufdorf BE","C'est non à 56,9 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Kaufdorf. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 64,7 pour cent de non. Kaufdorf avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
870,52,52,48,"Kehrsatz BE","Kehrsatz (BE)","Kehrsatz BE","A Kehrsatz, les habitants disent oui à 52 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 54,3 pour cent de non. Kehrsatz avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
872,29,29,71,"Kirchdorf BE","Kirchdorf (BE)","Kirchdorf BE","La réforme de l'AVS, qui prévoit de relever d'un an l'âge du départ à la retraite des femmes, ne passe pas la rampe à Kirchdorf (BE) avec 71 pour cent des suffrages. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 52,9 pour cent des suffrages. Les citoyens de Kirchdorf (BE) avaient déjà refusé la précédente révision de l'AVS en 2017."
879,39.9,39.9,60.1,"Riggisberg BE","Riggisberg (BE)","Riggisberg BE","Les habitants de Riggisberg s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 60,1 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 63,5 pour cent de non. Les citoyens de Riggisberg avaient déjà refusé la précédente révision de l'AVS en 2017."
880,63.4,63.4,36.6,"Rüeggisberg BE","Rüeggisberg (BE)","Rüeggisberg BE","C'est oui à 63,4 pour cent à la réforme de l'AVS à Rüeggisberg. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 50,4 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Rüeggisberg passe cette fois-ci du côté du oui."
883,71.6,71.6,28.4,"Seftigen BE","Seftigen (BE)","Seftigen BE","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Seftigen avec 71,6 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 51,1 pour cent de non. Les citoyens de Seftigen avaient déjà refusé la précédente révision de l'AVS en 2017."
884,54.2,54.2,45.8,"Toffen BE","Toffen (BE)","Toffen BE","C'est oui à 54,2 pour cent à la réforme de l'AVS à Toffen. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 90,3 pour cent de non. Les citoyens de Toffen avaient déjà refusé la précédente révision de l'AVS en 2017."
885,55.9,55.9,44.1,"Uttigen BE","Uttigen (BE)","Uttigen BE","Les habitants d'Uttigen acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 55,9 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 50,2 pour cent de non. Les citoyens d'Uttigen avaient déjà refusé la précédente révision de l'AVS en 2017."
886,71.1,71.1,28.9,"Wattenwil BE","Wattenwil (BE)","Wattenwil BE","C'est oui à 71,1 pour cent à la réforme de l'AVS à Wattenwil. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 90 pour cent de non. Les citoyens de Wattenwil avaient déjà refusé la précédente révision de l'AVS en 2017."
888,19.4,19.4,80.6,"Wald BE","Wald (BE)","Wald BE BE","Les habitants de Wald (BE) rejettent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 80,6 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 56,5 pour cent de non. Les citoyens de Wald (BE) avaient déjà refusé la précédente révision de l'AVS en 2017."
889,16.3,16.3,83.7,"Thurnen BE","Thurnen (BE)","Thurnen BE","C'est non à 83,7 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, à Thurnen. Si cette proposition a été refusée, l'autre concernant la révision de l'AVS a été acceptée ce dimanche avec 58,9 pour cent des suffrages. Il n'est pas possible de comparer le résultat du vote de cette commune avec celui de la précédente révision en 2017. La commune a certainement fusionné depuis 2017."
901,44,44,56,"Eggiwil BE","Eggiwil (BE)","Eggiwil BE","Les habitants d'Eggiwil s'opposent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 56 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 58,6 pour cent de non. Les citoyens d'Eggiwil avaient déjà refusé la précédente révision de l'AVS en 2017."
902,51.1,51.1,48.9,"Langnau im Emmental BE","Langnau im Emmental (BE)","Langnau im Emmental BE","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Langnau im Emmental avec 51,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 65,6 pour cent de non. Langnau im Emmental avait accepté la précédente révision en 2017. Elle dit non cette fois-ci."
903,62,62,38,"Lauperswil BE","Lauperswil (BE)","Lauperswil BE","C'est oui à 62 pour cent à la réforme de l'AVS à Lauperswil. Les femmes partiront à la retraite à l'âge de auf 65 ans. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 97,9 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Lauperswil passe cette fois-ci du côté du oui."
904,60.3,60.3,39.7,"Röthenbach im Emmental BE","Röthenbach im Emmental (BE)","Röthenbach im Emmental BE","Les habitants de Röthenbach im Emmental acceptent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 60,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 99,6 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Röthenbach im Emmental passe cette fois-ci du côté du oui."
905,87.7,87.7,12.3,"Rüderswil BE","Rüderswil (BE)","Rüderswil BE","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Rüderswil avec 87,7 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 60 pour cent de non. Les citoyens de Rüderswil avaient déjà refusé la précédente révision de l'AVS en 2017."
906,48.3,48.3,51.7,"Schangnau BE","Schangnau (BE)","Schangnau BE","A Schangnau, les habitants disent non à 51,7 pour cent à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 51,8 pour cent de non. Les citoyens de Schangnau avaient déjà refusé la précédente révision de l'AVS en 2017."
907,40.9,40.9,59.1,"Signau BE","Signau (BE)","Signau BE","A Signau, les habitants sont défavorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 59,1 pour cent de non. L'autre proposition concernant la révision de l'AVS a aussi été refusée ce dimanche avec 59,2 pour cent de non. Les citoyens de Signau avaient déjà refusé la précédente révision de l'AVS en 2017."
908,51.1,51.1,48.9,"Trub BE","Trub (BE)","Trub BE","Les habitants de Trub approuvent la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 51,1 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 75,4 pour cent de non. Les citoyens de Trub avaient déjà refusé la précédente révision de l'AVS en 2017."
909,81.4,81.4,18.6,"Trubschachen BE","Trubschachen (BE)","Trubschachen BE","La réforme de l'AVS, qui prévoit de relever l'âge du départ à la retraite des femmes, passe la rampe à Trubschachen avec 81,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 52 pour cent de non. Les citoyens de Trubschachen avaient déjà refusé la précédente révision de l'AVS en 2017."
921,96.3,96.3,3.7,"Amsoldingen BE","Amsoldingen (BE)","Amsoldingen BE","A Amsoldingen, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 96,3 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a par contre été refusée avec 90,5 pour cent de non. Les citoyens d'Amsoldingen avaient déjà refusé la précédente révision de l'AVS en 2017."
922,51.4,51.4,48.6,"Blumenstein BE","Blumenstein (BE)","Blumenstein BE","A Blumenstein, les habitants sont favorables à la réforme de l'AVS, qui passe par un relèvement de l'âge du départ à la retraite des femmes, avec 51,4 pour cent de oui. La deuxième proposition concernant l'AVS soumise au verdict des urnes ce dimanche a également été acceptée par 87,5 pour cent des voix. Dans le camp du non en 2017 lors de la précédente révision de l'AVS, Blumenstein passe cette fois-ci du côté du oui."
