"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d"
1375,48.3,48.3,51.7,"Unteriberg SZ","Unteriberg (SZ)","Unteriberg SZ","In Unteriberg hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 51,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch das Frauenrentenalter 65 mit 63,2 abgelehnt hat, ist die AHV-Reform in Unteriberg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Unteriberg eine Rentenreform mit 83,5 Nein-Stimmen abgelehnt."
1401,57,57,43,"Alpnach OW","Alpnach (OW)","Alpnach OW","57 Prozent in Alpnach sagen Ja zur Erhöhung der Mehrwertsteuer . Weil die Gemeinde das Frauenrentenalter 65 aber mit 59,2 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Alpnach damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Alpnach eine Rentenreform mit 57,9 Nein-Stimmen abgelehnt."
1402,47.5,47.5,52.5,"Engelberg OW","Engelberg (OW)","Engelberg OW","In Engelberg hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 52,5 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 73,2 abgelehnt hat, ist die AHV-Reform in Engelberg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Engelberg eine Rentenreform mit 62,3 Nein-Stimmen abgelehnt."
1403,53.6,53.6,46.4,"Giswil OW","Giswil (OW)","Giswil OW","In Giswil hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 53,6 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 57,1 zugestimmt hat, ist die AHV-Reform in Giswil damit angenommen worden. Damit hat in Giswil im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 61,6 Prozent ein Nein in die Urne gelegt."
1404,43.9,43.9,56.1,"Kerns OW","Kerns (OW)","Kerns OW","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Kerns: Mit 56,1 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde das Frauenrentenalter 65 mit 61,2 Ja-Stimmen angenommen hat, ist die AHV-Reform in Kerns damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Kerns eine Rentenreform mit 61,6 Nein-Stimmen abgelehnt."
1405,27.8,27.8,72.2,"Lungern OW","Lungern (OW)","Lungern OW","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Lungern: Mit 72,2 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde das Frauenrentenalter 65 mit 86,1 Ja-Stimmen angenommen hat, ist die AHV-Reform in Lungern damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Lungern eine Rentenreform mit 57,2 Nein-Stimmen abgelehnt."
1406,59.3,59.3,40.7,"Sachseln OW","Sachseln (OW)","Sachseln OW","59,3 Prozent in Sachseln sagen Ja zur Erhöhung der Mehrwertsteuer . Weil die Gemeinde das Frauenrentenalter 65 aber mit 67,3 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Sachseln damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Sachseln eine Rentenreform mit 54,9 Nein-Stimmen abgelehnt."
1407,56.6,56.6,43.4,"Sarnen OW","Sarnen (OW)","Sarnen OW","Sarnen hat der Erhöhung der Mehrwertsteuer mit 56,6 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 59,8 zugestimmt hat, ist die AHV-Reform in Sarnen damit angenommen worden. Damit hat in Sarnen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 56,2 Prozent ein Nein in die Urne gelegt."
1501,62.1,62.1,37.9,"Beckenried NW","Beckenried (NW)","Beckenried NW","Beckenried hat der Erhöhung der Mehrwertsteuer mit 62,1 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 54,6 zugestimmt hat, ist die AHV-Reform in Beckenried damit angenommen worden. Damit hat in Beckenried im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 63,6 Prozent ein Nein in die Urne gelegt."
1502,47.2,47.2,52.8,"Buochs NW","Buochs (NW)","Buochs NW","52,8 Prozent Nein zur Erhöhung der Mehrwertsteuer in Buochs. Da die Gemeinde auch das Frauenrentenalter 65 mit 97,3 abgelehnt hat, ist die AHV-Reform in Buochs damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Buochs eine Rentenreform mit 64 Nein-Stimmen abgelehnt."
1503,95.3,95.3,4.7,"Dallenwil NW","Dallenwil (NW)","Dallenwil NW","Ja zur Erhöhung der Mehrwertsteuer in Dallenwil mit 95,3 Prozent. Weil die Gemeinde das Frauenrentenalter 65 aber mit 58,1 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Dallenwil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Dallenwil eine Rentenreform mit 63,1 Nein-Stimmen abgelehnt."
1504,40.5,40.5,59.5,"Emmetten NW","Emmetten (NW)","Emmetten NW","In Emmetten hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 59,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch das Frauenrentenalter 65 mit 77,4 abgelehnt hat, ist die AHV-Reform in Emmetten damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Emmetten eine Rentenreform mit 73,1 Nein-Stimmen abgelehnt."
1505,54,54,46,"Ennetbürgen NW","Ennetbürgen (NW)","Ennetbürgen NW","Ennetbürgen hat der Erhöhung der Mehrwertsteuer mit 54 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 76,3 zugestimmt hat, ist die AHV-Reform in Ennetbürgen damit angenommen worden. Damit hat in Ennetbürgen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 60,7 Prozent ein Nein in die Urne gelegt."
1506,39.5,39.5,60.5,"Ennetmoos NW","Ennetmoos (NW)","Ennetmoos NW","In Ennetmoos hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 60,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde das Frauenrentenalter 65 mit 63,1 Ja-Stimmen angenommen hat, ist die AHV-Reform in Ennetmoos damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Ennetmoos eine Rentenreform mit 64,9 Nein-Stimmen abgelehnt."
1507,82.2,82.2,17.8,"Hergiswil NW","Hergiswil (NW)","Hergiswil NW","Ja zur Erhöhung der Mehrwertsteuer in Hergiswil NW mit 82,2 Prozent. Da die Gemeinde auch dem Frauenrentealter 65 mit 53,6 zugestimmt hat, ist die AHV-Reform in Hergiswil NW damit angenommen worden. Damit hat in Hergiswil NW im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 63,6 Prozent ein Nein in die Urne gelegt."
1508,20.1,20.1,79.9,"Oberdorf NW","Oberdorf (NW)","Oberdorf NW","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Oberdorf NW: Mit 79,9 Prozent hat die Gemeinde die Vorlage verworfen. Obwohl die Gemeinde das Frauenrentenalter 65 mit 58,9 Ja-Stimmen angenommen hat, ist die AHV-Reform in Oberdorf NW damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberdorf NW eine Rentenreform mit 60 Nein-Stimmen abgelehnt."
1509,34.6,34.6,65.4,"Stans NW","Stans (NW)","Stans NW","In Stans hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 65,4 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch das Frauenrentenalter 65 mit 93,7 abgelehnt hat, ist die AHV-Reform in Stans damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Stans eine Rentenreform mit 52 Nein-Stimmen abgelehnt."
1510,82.4,82.4,17.6,"Stansstad NW","Stansstad (NW)","Stansstad NW","82,4 Prozent der Abstimmenden in der Gemeinde Stansstad haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch dem Frauenrentealter 65 mit 51,3 zugestimmt hat, ist die AHV-Reform in Stansstad damit angenommen worden. Damit hat in Stansstad im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 64,1 Prozent ein Nein in die Urne gelegt."
1511,65,65,35,"Wolfenschiessen NW","Wolfenschiessen (NW)","Wolfenschiessen NW","In Wolfenschiessen hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 65 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 82,2 zugestimmt hat, ist die AHV-Reform in Wolfenschiessen damit angenommen worden. Damit hat in Wolfenschiessen im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 61 Prozent ein Nein in die Urne gelegt."
1630,29,29,71,"Glarus Nord GL","Glarus Nord (GL)","Glarus Nord GL","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Glarus Nord: Mit 71 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch das Frauenrentenalter 65 mit 52,4 abgelehnt hat, ist die AHV-Reform in Glarus Nord damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Glarus Nord eine Rentenreform mit 64,4 Nein-Stimmen abgelehnt."
1631,46.8,46.8,53.2,"Glarus Süd GL","Glarus Süd (GL)","Glarus Süd GL","Nein zur Erhöhung der Mehrwertsteuer in Glarus Süd. Die Gemeinde hat das Volksbegehren mit 53,2 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 93,2 Ja-Stimmen angenommen hat, ist die AHV-Reform in Glarus Süd damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Glarus Süd eine Rentenreform mit 66,3 Nein-Stimmen abgelehnt."
1632,58.3,58.3,41.7,"Glarus GL","Glaris (GL)","Glarona GL","58,3 Prozent in Glarus sagen Ja zur Erhöhung der Mehrwertsteuer . Weil die Gemeinde das Frauenrentenalter 65 aber mit 52,3 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Glarus damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Glarus eine Rentenreform mit 57,7 Nein-Stimmen abgelehnt."
1701,4.7,4.7,95.3,"Baar ZG","Baar (ZG)","Baar ZG","Keine Mehrheit für die Erhöhung der Mehrwertsteuer in Baar: Mit 95,3 Prozent hat die Gemeinde die Vorlage verworfen. Da die Gemeinde auch das Frauenrentenalter 65 mit 62,3 abgelehnt hat, ist die AHV-Reform in Baar damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Baar eine Rentenreform mit 59 Nein-Stimmen abgelehnt."
1702,59.1,59.1,40.9,"Cham ZG","Cham (ZG)","Cham ZG","In Cham hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 59,1 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 53,8 zugestimmt hat, ist die AHV-Reform in Cham damit angenommen worden. Damit hat in Cham im Vergleich zur letzten AHV-Abstimmungim Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 56,2 Prozent ein Nein in die Urne gelegt."
1703,54.2,54.2,45.8,"Hünenberg ZG","Hünenberg (ZG)","Hünenberg ZG","Die Gemeinde Hünenberg hat die Erhöhung der Mehrwertsteuer mit 54,2 Prozent angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 65,3 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Hünenberg damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Hünenberg eine Rentenreform mit 56,4 Nein-Stimmen abgelehnt."
1704,86.3,86.3,13.7,"Menzingen ZG","Menzingen (ZG)","Menzingen ZG","86,3 Prozent der Abstimmenden in der Gemeinde Menzingen haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Weil die Gemeinde das Frauenrentenalter 65 aber mit 57,9 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Menzingen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Menzingen eine Rentenreform mit 57,1 Nein-Stimmen abgelehnt."
1705,35.5,35.5,64.5,"Neuheim ZG","Neuheim (ZG)","Neuheim ZG","Neuheim hat die Erhöhung der Mehrwertsteuer mit 64,5 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 89,8 Ja-Stimmen angenommen hat, ist die AHV-Reform in Neuheim damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Neuheim eine Rentenreform mit 67,1 Nein-Stimmen abgelehnt."
1706,37.1,37.1,62.9,"Oberägeri ZG","Oberägeri (ZG)","Oberägeri ZG","In Oberägeri hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 62,9 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 81 abgelehnt hat, ist die AHV-Reform in Oberägeri damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Oberägeri eine Rentenreform mit 67,5 Nein-Stimmen abgelehnt."
1707,62.7,62.7,37.3,"Risch ZG","Risch (ZG)","Risch ZG","62,7 Prozent der Stimmbürgerinnen und Stimmbürger von Risch haben die Erhöhung der Mehrwertsteuer angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 74,3 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Risch damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Risch eine Rentenreform mit 58,9 Nein-Stimmen abgelehnt."
1708,67.2,67.2,32.8,"Steinhausen ZG","Steinhausen (ZG)","Steinhausen ZG","In Steinhausen hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 67,2 Prozent zugestimmt. Weil die Gemeinde das Frauenrentenalter 65 aber mit 61 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Steinhausen damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Steinhausen eine Rentenreform mit 55,8 Nein-Stimmen abgelehnt."
1709,4.5,4.5,95.5,"Unterägeri ZG","Unterägeri (ZG)","Unterägeri ZG","In Unterägeri hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 95,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch das Frauenrentenalter 65 mit 68,3 abgelehnt hat, ist die AHV-Reform in Unterägeri damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Unterägeri eine Rentenreform mit 63,7 Nein-Stimmen abgelehnt."
1710,63.8,63.8,36.2,"Walchwil ZG","Walchwil (ZG)","Walchwil ZG","In Walchwil hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 63,8 Prozent zugestimmt. Weil die Gemeinde das Frauenrentenalter 65 aber mit 55 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Walchwil damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Walchwil eine Rentenreform mit 62 Nein-Stimmen abgelehnt."
1711,37.2,37.2,62.8,"Zug ZG","Zoug (ZG)","Zugo ZG","Zug hat die Erhöhung der Mehrwertsteuer mit 62,8 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 65 Ja-Stimmen angenommen hat, ist die AHV-Reform in Zug damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Zug eine Rentenreform mit 53,3 Nein-Stimmen abgelehnt."
2008,66.1,66.1,33.9,"Châtillon FR","Châtillon (FR)","Châtillon FR","66,1 Prozent in Châtillon FR sagen Ja zur Erhöhung der Mehrwertsteuer . Weil die Gemeinde das Frauenrentenalter 65 aber mit 67,5 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Châtillon FR damit gescheitert. Damit hat in Châtillon FR im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 57,3 Prozent ein Ja in die Urne gelegt."
2011,53.2,53.2,46.8,"Cugy FR","Cugy (FR)","Cugy FR","53,2 Prozent der Abstimmenden in der Gemeinde Cugy FR haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Weil die Gemeinde das Frauenrentenalter 65 aber mit 63,1 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Cugy FR damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Cugy FR eine Rentenreform mit 55 Nein-Stimmen abgelehnt."
2016,18.3,18.3,81.7,"Fétigny FR","Fétigny (FR)","Fétigny FR","81,7 Prozent Nein zur Erhöhung der Mehrwertsteuer in Fétigny. Da die Gemeinde auch das Frauenrentenalter 65 mit 56,9 abgelehnt hat, ist die AHV-Reform in Fétigny damit gescheitert."
2022,23.1,23.1,76.9,"Gletterens FR","Gletterens (FR)","Gletterens FR","In Gletterens hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 76,9 Prozent abgelehnt. Obwohl die Gemeinde das Frauenrentenalter 65 mit 51,3 Ja-Stimmen angenommen hat, ist die AHV-Reform in Gletterens damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Gletterens eine Rentenreform mit 51,4 Nein-Stimmen abgelehnt."
2025,64.3,64.3,35.7,"Lully FR","Lully (FR)","Lully FR","64,3 Prozent der Abstimmenden in der Gemeinde Lully FR haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Weil die Gemeinde das Frauenrentenalter 65 aber mit 67,5 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Lully FR damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Lully FR eine Rentenreform mit 57 Nein-Stimmen abgelehnt."
2027,37.4,37.4,62.6,"Ménières FR","Ménières (FR)","Ménières FR","62,6 Prozent Nein zur Erhöhung der Mehrwertsteuer in Ménières. Obwohl die Gemeinde das Frauenrentenalter 65 mit 87,4 Ja-Stimmen angenommen hat, ist die AHV-Reform in Ménières damit gescheitert. Damit hat in Ménières im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 56,3 Prozent ein Ja in die Urne gelegt."
2029,78,78,22,"Montagny FR","Montagny (FR)","Montagny FR","Montagny FR hat der Erhöhung der Mehrwertsteuer mit 78 Prozent zugestimmt. Weil die Gemeinde das Frauenrentenalter 65 aber mit 70,1 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Montagny FR damit gescheitert. Damit hat in Montagny FR im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 53 Prozent ein Ja in die Urne gelegt."
2035,23.9,23.9,76.1,"Nuvilly FR","Nuvilly (FR)","Nuvilly FR","In Nuvilly hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 76,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde das Frauenrentenalter 65 mit 50,5 Ja-Stimmen angenommen hat, ist die AHV-Reform in Nuvilly damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Nuvilly eine Rentenreform mit 59,6 Nein-Stimmen abgelehnt."
2038,6.1,6.1,93.9,"Prévondavaux FR","Prévondavaux (FR)","Prévondavaux FR","In Prévondavaux hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 93,9 Prozent der abgegebenen Stimmzettel stand ein Nein. Da die Gemeinde auch das Frauenrentenalter 65 mit 80,4 abgelehnt hat, ist die AHV-Reform in Prévondavaux damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Prévondavaux eine Rentenreform mit 68 Nein-Stimmen abgelehnt."
2041,18.7,18.7,81.3,"Saint-Aubin FR","Saint-Aubin (FR)","Saint-Aubin FR","81,3 Prozent der Stimmbürgerinnen und Stimmbürger von Saint-Aubin FR sagen Nein zur Erhöhung der Mehrwertsteuer. Obwohl die Gemeinde das Frauenrentenalter 65 mit 70,2 Ja-Stimmen angenommen hat, ist die AHV-Reform in Saint-Aubin FR damit gescheitert. Damit hat in Saint-Aubin FR im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 52,3 Prozent ein Ja in die Urne gelegt."
2043,50.1,50.1,49.9,"Sévaz FR","Sévaz (FR)","Sévaz FR","50,1 Prozent in Sévaz sagen Ja zur Erhöhung der Mehrwertsteuer . Weil die Gemeinde das Frauenrentenalter 65 aber mit 96,2 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Sévaz damit gescheitert. Damit hat in Sévaz im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 63,1 Prozent ein Ja in die Urne gelegt."
2044,41.4,41.4,58.6,"Surpierre FR","Surpierre (FR)","Surpierre FR","58,6 Prozent Nein zur Erhöhung der Mehrwertsteuer in Surpierre. Obwohl die Gemeinde das Frauenrentenalter 65 mit 70,1 Ja-Stimmen angenommen hat, ist die AHV-Reform in Surpierre damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Surpierre eine Rentenreform mit 56,6 Nein-Stimmen abgelehnt."
2045,72.8,72.8,27.2,"Vallon FR","Vallon (FR)","Vallon FR","Ja zur Erhöhung der Mehrwertsteuer in Vallon mit 72,8 Prozent. Weil die Gemeinde das Frauenrentenalter 65 aber mit 73,2 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Vallon damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Vallon eine Rentenreform mit 58,5 Nein-Stimmen abgelehnt."
2050,17.9,17.9,82.1,"Les Montets FR","Les Montets (FR)","Les Montets FR","82,1 Prozent Nein zur Erhöhung der Mehrwertsteuer in Les Montets. Da die Gemeinde auch das Frauenrentenalter 65 mit 91,2 abgelehnt hat, ist die AHV-Reform in Les Montets damit gescheitert. Damit hat in Les Montets im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,6 Prozent ein Ja in die Urne gelegt."
2051,48.8,48.8,51.2,"Delley-Portalban FR","Delley-Portalban (FR)","Delley-Portalban FR","In Delley-Portalban hat die Stimmbevölkerung die Erhöhung der Mehrwertsteuer mit 51,2 Prozent abgelehnt. Da die Gemeinde auch das Frauenrentenalter 65 mit 50,6 abgelehnt hat, ist die AHV-Reform in Delley-Portalban damit gescheitert. Damit hat in Delley-Portalban im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,6 Prozent ein Ja in die Urne gelegt."
2053,50.6,50.6,49.4,"Belmont-Broye FR","Belmont-Broye (FR)","Belmont-Broye FR","50,6 Prozent der Abstimmenden in der Gemeinde Belmont-Broye haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch dem Frauenrentealter 65 mit 50,7 zugestimmt hat, ist die AHV-Reform in Belmont-Broye damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Belmont-Broye der Rentenreform mit 50,1 zugestimmt."
2054,72.9,72.9,27.1,"Estavayer FR","Estavayer (FR)","Estavayer FR","In Estavayer hat die Stimmbevölkerung der Erhöhung der Mehrwertsteuer mit einem Ja-Stimmen-Anteil von 72,9 Prozent zugestimmt. Da die Gemeinde auch dem Frauenrentealter 65 mit 65 zugestimmt hat, ist die AHV-Reform in Estavayer damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Estavayer der Rentenreform mit 54,6 zugestimmt."
2055,70.1,70.1,29.9,"Cheyres-Châbles FR","Cheyres-Châbles (FR)","Cheyres-Châbles FR","70,1 Prozent der Stimmbürgerinnen und Stimmbürger von Cheyres-Châbles haben die Erhöhung der Mehrwertsteuer angenommen. Weil die Gemeinde das Frauenrentenalter 65 aber mit 95,9 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Cheyres-Châbles damit gescheitert. Damit hat in Cheyres-Châbles im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 54,3 Prozent ein Ja in die Urne gelegt."
2061,30,30,70,"Auboranges FR","Auboranges (FR)","Auboranges FR","70 Prozent Nein zur Erhöhung der Mehrwertsteuer in Auboranges. Da die Gemeinde auch das Frauenrentenalter 65 mit 59,8 abgelehnt hat, ist die AHV-Reform in Auboranges damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Auboranges eine Rentenreform mit 51,9 Nein-Stimmen abgelehnt."
2063,49.5,49.5,50.5,"Billens-Hennens FR","Billens-Hennens (FR)","Billens-Hennens FR","In Billens-Hennens hat die Erhöhung der Mehrwertsteuer keine Mehrheit gefunden. Auf 50,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Obwohl die Gemeinde das Frauenrentenalter 65 mit 53,9 Ja-Stimmen angenommen hat, ist die AHV-Reform in Billens-Hennens damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Billens-Hennens eine Rentenreform mit 55,1 Nein-Stimmen abgelehnt."
2066,55.2,55.2,44.8,"Chapelle (Glâne) FR","Chapelle (Glâne) (FR)","Chapelle (Glâne) FR","55,2 Prozent der Abstimmenden in der Gemeinde Chapelle (Glâne) haben Ja gesagt zur Erhöhung der Mehrwertsteuer. Da die Gemeinde auch dem Frauenrentealter 65 mit 52,8 zugestimmt hat, ist die AHV-Reform in Chapelle (Glâne) damit angenommen worden. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Chapelle (Glâne) der Rentenreform mit 50,5 zugestimmt."
2067,79.7,79.7,20.3,"Le Châtelard FR","Le Châtelard (FR)","Le Châtelard FR","79,7 Prozent in Le Châtelard sagen Ja zur Erhöhung der Mehrwertsteuer . Weil die Gemeinde das Frauenrentenalter 65 aber mit 65,4 Nein-Stimmen abgelehnt hat, ist die AHV-Reform in Le Châtelard damit gescheitert. Auch bei der letzten AHV-Abstimmung im Jahr 2017 hatte Le Châtelard eine Rentenreform mit 53 Nein-Stimmen abgelehnt."
2068,17,17,83,"Châtonnaye FR","Châtonnaye (FR)","Châtonnaye FR","83 Prozent Nein zur Erhöhung der Mehrwertsteuer in Châtonnaye. Obwohl die Gemeinde das Frauenrentenalter 65 mit 53,9 Ja-Stimmen angenommen hat, ist die AHV-Reform in Châtonnaye damit gescheitert. Damit hat in Châtonnaye im Vergleich zur letzten AHV-Abstimmung im Jahr 2017 ein Meinungsumschwung stattgefunden. Damals hatte noch eine Mehrheit von 50,4 Prozent ein Ja in die Urne gelegt."
